Name,representative_disperions,disperse,no_dispersion,no_data,slight_dispersion,actinacidiphila,Phaeacidiphilus,Mangrovactinospora,Wenjunlia,Streptantibioticus
Streptomyces_xiamenensis_id000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_xiamenensis__COLLAPSED__id000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_xiamenensis__COLLAPSED__id000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_carpaticus__COLLAPSED__id000006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_carpaticus__COLLAPSED__id000007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bacterium_IM_8A__COLLAPSED__id000008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_carpaticus__COLLAPSED__id000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_carpaticus__COLLAPSED__id000012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
actinobacterium_HMJKDS1__COLLAPSED__id000014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
unidentified__COLLAPSED__id000016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
uncultured_soil_id000017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_harbinensis_id000018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_carpaticus_id000020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
streptomyces_sp.__COLLAPSED__id000022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_carpaticus_id000023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_carpaticus_id000025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_cheonanensis_id000026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_carpaticus_id000027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
actinobacterium_HMYKDS15_id000029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_harbinensis_id000030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_carpaticus_id000036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_phaeopurpureus__1__Streptomyces_sp.__1__Streptomyces_griseorubiginosus__1__id000041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Streptomyces_hainanensis_id000042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
no_species_info_id000043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
