	run ID	name	method	date run	command-line
0	1	id_0	ANIm	2023-03-09 15:00:49.864979	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_0 -o pyani_analysis/id_0/output -v -l pyani_analysis/id_0/output.log --name id_0 --labels pyani_analysis/id_0/labels.txt --classes pyani_analysis/id_0/classes.txt
1	2	id_1	ANIm	2023-03-09 15:16:27.929184	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_1 -o pyani_analysis/id_1/output -v -l pyani_analysis/id_1/output.log --name id_1 --labels pyani_analysis/id_1/labels.txt --classes pyani_analysis/id_1/classes.txt
2	3	id_10	ANIm	2023-03-09 15:18:50.354660	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_10 -o pyani_analysis/id_10/output -v -l pyani_analysis/id_10/output.log --name id_10 --labels pyani_analysis/id_10/labels.txt --classes pyani_analysis/id_10/classes.txt
3	4	id_102	ANIm	2023-03-09 15:20:59.623408	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_102 -o pyani_analysis/id_102/output -v -l pyani_analysis/id_102/output.log --name id_102 --labels pyani_analysis/id_102/labels.txt --classes pyani_analysis/id_102/classes.txt
4	5	id_105	ANIm	2023-03-09 15:21:35.802623	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_105 -o pyani_analysis/id_105/output -v -l pyani_analysis/id_105/output.log --name id_105 --labels pyani_analysis/id_105/labels.txt --classes pyani_analysis/id_105/classes.txt
5	6	id_106	ANIm	2023-03-09 15:22:12.491460	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_106 -o pyani_analysis/id_106/output -v -l pyani_analysis/id_106/output.log --name id_106 --labels pyani_analysis/id_106/labels.txt --classes pyani_analysis/id_106/classes.txt
6	7	id_107	ANIm	2023-03-09 15:22:32.391207	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_107 -o pyani_analysis/id_107/output -v -l pyani_analysis/id_107/output.log --name id_107 --labels pyani_analysis/id_107/labels.txt --classes pyani_analysis/id_107/classes.txt
7	8	id_108	ANIm	2023-03-09 15:30:29.300248	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_108 -o pyani_analysis/id_108/output -v -l pyani_analysis/id_108/output.log --name id_108 --labels pyani_analysis/id_108/labels.txt --classes pyani_analysis/id_108/classes.txt
8	9	id_12	ANIm	2023-03-09 15:30:46.447388	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_12 -o pyani_analysis/id_12/output -v -l pyani_analysis/id_12/output.log --name id_12 --labels pyani_analysis/id_12/labels.txt --classes pyani_analysis/id_12/classes.txt
9	10	id_121	ANIm	2023-03-09 15:39:50.012754	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_121 -o pyani_analysis/id_121/output -v -l pyani_analysis/id_121/output.log --name id_121 --labels pyani_analysis/id_121/labels.txt --classes pyani_analysis/id_121/classes.txt
10	11	id_122	ANIm	2023-03-09 15:40:21.071671	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_122 -o pyani_analysis/id_122/output -v -l pyani_analysis/id_122/output.log --name id_122 --labels pyani_analysis/id_122/labels.txt --classes pyani_analysis/id_122/classes.txt
11	12	id_123	ANIm	2023-03-09 15:41:51.503967	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_123 -o pyani_analysis/id_123/output -v -l pyani_analysis/id_123/output.log --name id_123 --labels pyani_analysis/id_123/labels.txt --classes pyani_analysis/id_123/classes.txt
12	13	id_125	ANIm	2023-03-09 15:42:26.525282	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_125 -o pyani_analysis/id_125/output -v -l pyani_analysis/id_125/output.log --name id_125 --labels pyani_analysis/id_125/labels.txt --classes pyani_analysis/id_125/classes.txt
13	14	id_126	ANIm	2023-03-09 15:42:48.145377	/opt/anaconda3/envs/pyani_v3/bin/pyani anim -i=pyani_analysis/id_126 -o pyani_analysis/id_126/output -v -l pyani_analysis/id_126/output.log --name id_126 --labels pyani_analysis/id_126/labels.txt --classes pyani_analysis/id_126/classes.txt
