	Streptomyces californicus strain FDAARGOS_1209 chromosome:27	Streptomyces californicus strain FDAARGOS_1211 chromosome:28	Streptomyces californicus strain NRRL B-3320 P050_Doro1_scaffold1, whole genome shotgun sequence:539	Streptomyces purpeochromogenes strain NRRL B-3012 contig1.1, whole genome shotgun sequence:540	Streptomyces sp. NRRL WC-3540 contig1.1, whole genome shotgun sequence:541	Streptomyces griseus subsp. rhodochrous strain NRRL B-2929 B2929contig1.1, whole genome shotgun sequence:542	Streptomyces violaceoruber strain S21 chromosome, complete genome:543	Streptomyces sp. CB04723 chromosome, complete genome:544	Streptomyces sp. JV180 ctg.s1.000000F, whole genome shotgun sequence:545	Streptomyces sp. RB110-2 tig00000001_np1212, whole genome shotgun sequence:546	Streptomyces sp. RB110-1 tig00000002_np1212, whole genome shotgun sequence:547	Streptomyces californicus strain FDAARGOS_1212 chromosome:548	Streptomyces californicus strain FDAARGOS_1213 chromosome:549	Streptomyces californicus strain FDAARGOS_1210 chromosome:550
Streptomyces californicus strain FDAARGOS_1209 chromosome:27	1.0	1.0268560961	0.9519626988000001	0.9993586660000001	0.9324884806	0.9325636827	0.9424464024	0.8559052783000001	0.9386315169	0.8815069694000001	0.8816023415	1.0540538387	1.0533364311	0.9234624916
Streptomyces californicus strain FDAARGOS_1211 chromosome:28	1.0241110889	1.0	0.9497981181	0.9904563688	0.9300969401	0.9301721894	0.9401698003000001	0.8540865124	0.9368583315000001	0.8795476197000001	0.8796421160000001	1.0483181643	1.0483418815	0.9223661232
Streptomyces californicus strain NRRL B-3320 P050_Doro1_scaffold1, whole genome shotgun sequence:539	0.9529882203000001	0.9533698705	1.0	0.9497731101	0.9225273721	0.9224707851	0.923103462	0.8429945558	0.9227464906	0.8671930748000001	0.865905161	0.9561746632	0.9559875773000001	0.9021290274
Streptomyces purpeochromogenes strain NRRL B-3012 contig1.1, whole genome shotgun sequence:540	1.0176772972	1.0113152808	0.9661420224	1.0	0.9492558883000001	0.9491552178	0.9551716076000001	0.86759581	0.9489564127000001	0.8938933619	0.8902565473	1.0334019177	1.0324588614	0.9337023061
Streptomyces sp. NRRL WC-3540 contig1.1, whole genome shotgun sequence:541	0.932534575	0.9326360530000001	0.9215801827000001	0.9322149505	1.0	1.0142244735000001	0.959579017	0.8639343399	0.9599098477	0.88102622	0.8795101515	0.9327321769	0.9325673219	0.9259103664
Streptomyces griseus subsp. rhodochrous strain NRRL B-2929 B2929contig1.1, whole genome shotgun sequence:542	0.9328528873	0.9329546408	0.9217638705000001	0.9323590651	1.0144888548	1.0	0.9583937689	0.8642822217	0.960056698	0.8813283655	0.8782655471	0.9341363268	0.9339746670000001	0.9246569337
Streptomyces violaceoruber strain S21 chromosome, complete genome:543	0.9562152565	0.9564622232000001	0.9355818467	0.9516816794	0.9735500493	0.9720941455000001	1.0	0.8794093515	0.968528476	0.8959947802	0.8947201538	0.9509122295	0.9509061659	0.9369445222
Streptomyces sp. CB04723 chromosome, complete genome:544	0.8732469314	0.8737269753	0.8591490862000001	0.8692408065	0.8813951025000001	0.8815202264	0.8843077586	1.0	0.8822918027000001	0.8983981090000001	0.8971111746	0.8756400374000001	0.8752866417	0.8831369290000001
Streptomyces sp. JV180 ctg.s1.000000F, whole genome shotgun sequence:545	0.9415847489	0.942325022	0.924653641	0.9348067603	0.9628824312	0.9627787655000001	0.9575857381	0.8674913711000001	1.0	0.8830429757	0.8818648087000001	0.9441960006000001	0.9440007844	0.9260129108
Streptomyces sp. RB110-2 tig00000001_np1212, whole genome shotgun sequence:546	0.8983377950000001	0.8987435698	0.8827995876	0.8945629977	0.8978034867	0.8978773332000001	0.8999541695000001	0.8973696705	0.8970806289000001	1.0	1.0103725084	0.8995541045000001	0.8995541045000001	0.8898265471000001
Streptomyces sp. RB110-1 tig00000002_np1212, whole genome shotgun sequence:547	0.8989225896	0.8993279499	0.8819669001	0.8914069836	0.8967449682	0.8952426087	0.8991616418	0.8965705350000001	0.8963699496	1.010920861	1.0	0.9017158052	0.9017155513	0.8942507265
Streptomyces californicus strain FDAARGOS_1212 chromosome:548	1.0474136214	1.0445062699	0.9491285864000001	1.0084073049	0.9268104353000001	0.9279637751	0.9313155373	0.8528441418	0.9353050882	0.8771397471	0.8787706551000001	1.0	1.0005233455	0.9194404187
Streptomyces californicus strain FDAARGOS_1213 chromosome:549	1.0465150628	1.0443446155	0.9487745496000001	1.0073083435	0.9264822525	0.9276386038000001	0.9311443970000001	0.8523487243000001	0.9349458341	0.8769841545	0.8786145258	1.0003458663	1.0	0.9191747748
Streptomyces californicus strain FDAARGOS_1210 chromosome:550	0.9021391012000001	0.9034832538	0.8803498665	0.8957235125	0.9044857428	0.9030259184	0.9021299789	0.8456115931	0.9017933022	0.8529934245	0.8567694824000001	0.9039042213	0.9038033886	1.0
