	GCF_000972435.1:723	GCF_003116795.1:724	GCF_003949835.1:725	GCF_003984925.1:726	GCF_003984935.1:727	GCF_003984975.1:728	GCF_004795715.1:729	GCF_005490965.1:730	GCF_013363575.1:731	GCF_018070055.1:732	GCF_019029485.1:733	GCF_019029505.1:734
GCF_000972435.1:723	1.0	0.7726098359	0.9413312626	0.9143700342000001	0.9157078189000001	0.9123470519	0.9033958766	0.9460865393000001	0.9299334169000001	0.9232128823	0.9136119937	0.9138072825
GCF_003116795.1:724	0.9278665348	1.0	0.9488962651	0.9592215388	0.9500986371000001	0.9542510444000001	0.9434759129	0.9463254129	0.9537965349	0.9429391745000001	0.9562974626	0.9565759603
GCF_003949835.1:725	0.8522660414000001	0.7153624842	1.0	0.8527841450000001	0.8371961274	0.8377335751	0.8390712552	0.8718165334	0.8688951305	0.8510561904	0.8388593757	0.8390334721
GCF_003984925.1:726	0.8912079564000001	0.7784858330000001	0.9180439767	1.0	0.9194410353	0.9154231522	0.9207065717	0.9179070961	0.9207421314	0.9064803695	0.9227283610000001	0.9227940003
GCF_003984935.1:727	0.8972266009000001	0.7751551469	0.9060240527000001	0.9242980378000001	1.0	0.9383015351	0.9101630579000001	0.9147460919	0.9372489407000001	0.9108013723	0.9353748867	0.9354406279
GCF_003984975.1:728	0.9183101075000001	0.7997728496000001	0.9313276805	0.9453532320000001	0.9638878363000001	1.0	0.9272884726	0.9344592677	0.9590365864	0.93637952	0.9601528455	0.9577114375
GCF_004795715.1:729	0.8834697268	0.7682792556	0.9063161310000001	0.9237995392	0.9084218134000001	0.9009467812	1.0	0.9030385341	0.9091217118	0.8978312069000001	0.9101177963	0.9101985632
GCF_005490965.1:730	0.9371728047000001	0.7805559495000001	0.9538524793000001	0.9328900718	0.9247922003000001	0.9196443313	0.9147060010000001	1.0	0.9373598176000001	0.9328795515	0.9221139915000001	0.92218194
GCF_013363575.1:731	0.907852388	0.7753429597	0.9369103732	0.9222408008	0.9338414046	0.9301848675000001	0.9075526878	0.9238062676000001	1.0	0.9199628601000001	0.9208313441	0.9208961144000001
GCF_018070055.1:732	0.9032204516000001	0.7681575565000001	0.9196391256	0.9098991099	0.9094322786000001	0.9101532451000001	0.8981999674000001	0.9213585415000001	0.9219318431	1.0	0.9081609914000001	0.9082268783
GCF_019029485.1:733	0.9141177347	0.7967243073	0.9270364348000001	0.947233702	0.9551703429	0.9544461366	0.9311601477	0.9313997996000001	0.943750186	0.9287766302	1.0	0.9955706278
GCF_019029505.1:734	0.9179675115	0.8001416548	0.9309348335000001	0.9510873126	0.9590554241	0.955824325	0.9349648273000001	0.9351913795000001	0.9475888693000001	0.9325564705	0.9995497824	1.0
