	GCF_002217715.1:48	GCF_002551375.1:49	GCF_002803175.1:50	GCF_002832675.1:51	GCF_003024215.1:52	GCF_003116775.1:53	GCF_009864905.1:54	GCF_009872565.1:55	GCF_013363455.1:56	GCF_013363655.1:57	GCF_013363665.1:58	GCF_014648875.1:59	GCF_016612575.1:60	GCF_016612605.1:61	GCF_016612645.1:62	GCF_016654065.1:63	GCF_900187925.1:64
GCF_002217715.1:48	1	176349	298930	350264	331032	327470	329173	169619	330881	329495	330222	334869	88685	86685	88488	89141	329173
GCF_002551375.1:49	176349	1	308268	359313	337821	339329	342327	71369	338744	341421	338645	342563	175985	173500	175503	176472	342327
GCF_002803175.1:50	298930	308268	1	314741	201583	154891	153109	302656	187870	186239	187341	122597	291788	286950	291204	290143	153109
GCF_002832675.1:51	350264	359313	314741	1	345529	348675	349161	348970	337564	342352	337393	343574	341659	336863	340446	339894	349161
GCF_003024215.1:52	331032	337821	201583	345529	1	223178	224093	330553	206093	204793	206007	221574	321899	316673	321015	319242	224093
GCF_003116775.1:53	327470	339329	154891	348675	223178	1	45131	329616	209577	209368	209546	166288	321746	317070	320318	319582	45131
GCF_009864905.1:54	329173	342327	153109	349161	224093	45131	1	331412	210804	210972	210360	167756	325841	322281	325413	324622	0
GCF_009872565.1:55	169619	71369	302656	348970	330553	329616	331412	1	332560	330765	332466	333665	168196	165171	167146	167469	330699
GCF_013363455.1:56	330881	338744	187870	337564	206093	209577	210804	332560	1	54206	572	205400	322957	318014	321813	321308	210808
GCF_013363655.1:57	329495	341421	186239	342352	204793	209368	210972	330765	54206	1	53769	203876	323918	319808	322825	322507	211062
GCF_013363665.1:58	330222	338645	187341	337393	206007	209546	210360	332466	572	53769	1	204928	322543	317747	321417	320948	210030
GCF_014648875.1:59	334869	342563	122597	343574	221574	166288	167756	333665	205400	203876	204928	1	327978	320801	325370	324700	168391
GCF_016612575.1:60	88685	175985	291788	341659	321899	321746	325841	168196	322957	323918	322543	327978	1	3952	4699	6298	325323
GCF_016612605.1:61	86685	173500	286950	336863	316673	317070	322281	165171	318014	319808	317747	320801	3952	1	3549	4354	321807
GCF_016612645.1:62	88488	175503	291204	340446	321015	320318	325413	167146	321813	322825	321417	325370	4699	3549	1	5121	325204
GCF_016654065.1:63	89141	176472	290143	339894	319242	319582	324622	167469	321308	322507	320948	324700	6298	4354	5121	1	324596
GCF_900187925.1:64	329173	342327	153109	349161	224093	45131	0	330699	210808	211062	210030	168391	325323	321807	325204	324596	1
