cluster_hash,Total_genomes,Cluster_members,NCBI_names,Unique_names_per_cluster
8d97d1635eeb17d23592bf5f9744f6b3,6,"GCF_001514135.1,GCF_002017835.1,GCF_005406005.1,GCF_009862865.1,GCF_000009765.2,GCF_005405965.1","['Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces avermitilis', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.']",2
9ecfc743f48accca13c0bcd3d9747f1f,8,"GCF_001723115.1,GCF_009866455.1,GCF_900105705.1,GCF_009862245.1,GCF_000010605.1,GCF_009863155.1,GCF_000177175.2,GCF_900091905.1","['Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces griseus', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces griseus', 'Streptomyces sp.', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces griseus', 'Streptomyces griseus']",2
561eb131904e59d01e026208814d5bae,1,GCF_000091305.1,['Streptomyces scabiei'],1
c939196e7fa9df5bed85fda8170ed74e,16,"GCF_000091305.1,GCF_017969005.1,GCF_017968965.1,GCF_017969045.1,GCF_001550215.1,GCF_017933115.1,GCF_017933255.1,GCF_017968935.1,GCF_001579685.1,GCF_001550225.1,GCF_017969075.1,GCF_001550235.1,GCF_017969025.1,GCF_003584815.1,GCF_017933235.1,GCF_017968905.1","['Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces scabiei', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.', 'Streptomyces sp.']",2
0b2832da3913074f23487a5ea51849c6,2,"GCF_002154605.1,GCF_000092385.1","['Streptomyces bingchenggensis', 'Streptomyces bingchenggensis', 'Streptomyces bingchenggensis', 'Streptomyces bingchenggensis', 'Streptomyces bingchenggensis', 'Streptomyces bingchenggensis', 'Streptomyces milbemycinicus']",2
70e86322f6b75586ea2e7a10e2183d0b,1,GCF_000147815.2,['Streptomyces violaceusniger'],1
8c6c78c41b172b1bf51b0b753d156613,1,GCF_000147815.2,"['Streptomyces violaceusniger', 'Streptomyces violaceusniger', 'Streptomyces violaceusniger']",1
2979bc08b37daad7575268c001be5999,1,GCF_000147815.2,['Streptomyces violaceusniger'],1
1dddaa4933732989e54674d6145253fa,1,GCF_000147815.2,['Streptomyces violaceusniger'],1
b991e97cc199744a356b0198821f5858,27,"GCF_015912875.1,GCF_015912975.1,GCF_015912395.1,GCF_015767895.1,GCF_015767735.1,GCF_015767875.1,GCF_000148465.1,GCF_000163875.1,GCF_015767815.1,GCF_015912925.1,GCF_015767795.1,GCF_015912435.1,GCF_015912945.1,GCF_015767935.1,GCF_015912995.1,GCF_015912895.1,GCF_015912455.1,GCF_015912465.1,GCF_015912985.1,GCF_001693675.1,GCF_015767755.1,GCF_015767915.1,GCF_005519465.1,GCF_015767855.1,GCF_015708605.1,GCF_015767775.1,GCF_003454755.1","['Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus', 'Streptomyces clavuligerus']",1
