	GCF_000239075.1:289	GCF_000364805.1:290	GCF_000373405.1:291	GCF_000385945.1:292	GCF_000720395.1:293	GCF_000721595.1:294	GCF_000935135.2:295	GCF_001189025.1:296	GCF_001418625.1:297	GCF_001426325.1:298	GCF_001427565.1:299	GCF_001434355.1:300	GCF_001905485.1:301	GCF_001905575.1:302	GCF_001905595.1:303	GCF_001905645.1:304	GCF_001983595.1:305	GCF_002158965.1:306	GCF_002188345.1:307	GCF_002242735.1:308	GCF_002910875.1:309	GCF_003116675.1:310	GCF_003268965.1:311	GCF_003367645.1:312	GCF_003610995.1:313	GCF_004524875.1:314	GCF_005234185.1:315	GCF_008932075.1:316	GCF_009862355.1:317	GCF_009862365.1:318	GCF_009865135.1:319	GCF_009865505.1:320	GCF_009872615.1:321	GCF_013167895.1:322	GCF_013364315.1:323	GCF_013409565.1:324	GCF_014495705.1:325	GCF_016653995.1:326	GCF_017358145.1:327	GCF_018070745.1:328	GCF_018530825.1:329	GCF_018614445.1:330	GCF_018614515.1:331	GCF_019049185.1:332	GCF_900207595.1:333	GCF_904440635.1:334	GCF_904440645.1:335
GCF_000239075.1:289	1	445694	589762	566470	447395	444953	307772	226878	543899	232423	228242	226766	263357	120309	518222	228435	567541	562749	308166	573049	469570	587911	446625	567356	543784	444010	498763	583510	385085	447264	559918	529703	589762	401543	572635	401556	250117	549259	568979	239794	220728	514352	511909	303272	444205	576853	576623
GCF_000364805.1:290	445694	1	448255	452593	47751	59572	443759	452634	434553	456640	457886	453973	444070	451738	419110	455413	449524	436834	443646	452004	437604	449162	48086	448997	434595	42049	446076	447835	43713	55561	445146	412602	448255	428732	456678	428801	440383	437023	451902	456807	455003	418257	418124	452484	46615	451760	451343
GCF_000373405.1:291	589762	448255	1	483444	447833	448974	579524	588446	465110	590973	592013	590019	572668	594534	344485	595936	269727	330533	579706	490131	545442	103288	449025	269415	422808	446183	586065	334821	385429	448623	437112	249043	0	408935	492429	408736	553100	468594	486615	576584	587872	343494	344345	583885	441832	275716	275407
GCF_000385945.1:292	566470	452593	483444	1	450114	451848	557937	571340	170819	571745	571787	573594	555651	570126	405625	572587	464173	449491	558931	181221	555862	479807	453121	463825	459121	451332	582037	455951	390800	446450	463437	436859	483702	421779	181943	421953	543347	174514	181064	568599	571215	406463	407077	564807	449380	472691	472608
GCF_000720395.1:293	447395	47751	447833	450114	1	57507	446219	452262	435044	455851	457375	452344	444720	451220	418497	456046	449711	438507	446994	449939	441174	447088	47764	449726	432496	47300	448598	449806	44209	56775	444527	414784	447998	425661	453972	426160	439667	436366	447206	456058	451939	418391	417617	452572	46461	450654	450614
GCF_000721595.1:294	444953	59572	448974	451848	57507	1	441326	455615	435960	456848	458039	454695	443162	449938	419130	452579	454416	439899	443837	450460	437240	447002	57984	454340	435333	55883	448073	450064	52126	47099	445868	414100	449074	427582	456226	427515	438389	439512	449053	454530	453647	420478	419683	451774	55935	452034	451986
GCF_000935135.2:295	307772	443759	579524	557937	446219	441326	1	290772	541720	298798	295571	288023	251544	306788	516988	301115	561565	558783	92544	569113	474059	580373	442705	561204	542309	442068	490550	579732	387002	443676	555405	520838	580859	406629	570411	406540	240116	541350	569144	303143	286467	513869	516979	328007	440642	568934	569196
GCF_001189025.1:296	226878	452634	588446	571340	452262	455615	290772	1	551482	76525	72049	68610	227662	224213	511395	174265	569317	567242	286402	579333	471212	586711	452684	568911	543771	448962	495149	583550	390851	453936	557443	527992	588408	403654	582913	403475	216921	555976	578302	218635	67518	511253	511360	275191	449935	576681	576927
GCF_001418625.1:297	543899	434553	465110	170819	435044	435960	541720	551482	1	556960	557344	552380	536088	548562	394127	553100	438955	431708	537711	56064	532596	464064	434008	438911	450108	433671	556851	437921	375383	430565	448904	429005	464979	409611	51770	409692	521690	51176	50355	544746	551073	393215	391191	538657	430719	452170	451893
GCF_001426325.1:298	232423	456640	590973	571745	455851	456848	298798	76525	556960	1	10638	73372	236965	236280	515602	183546	572842	569173	296102	584127	476178	590749	452592	572265	548403	454498	495871	591247	395294	455645	559489	530682	591042	407164	585340	406980	225627	558505	580671	225476	69032	519147	517700	284522	450041	578018	578178
