	Streptomyces spectabilis strain NRRL 2792 chromosome, complete genome:238	Streptomyces spectabilis strain ATCC 27465 chromosome, complete genome:239	Streptomyces spectabilis strain CECT 3146 Ga0436941_01, whole genome shotgun sequence:240
Streptomyces spectabilis strain NRRL 2792 chromosome, complete genome:238	1.0	0.8891407387	0.8877425199000001
Streptomyces spectabilis strain ATCC 27465 chromosome, complete genome:239	0.8618064761	1.0	0.9964873623
Streptomyces spectabilis strain CECT 3146 Ga0436941_01, whole genome shotgun sequence:240	0.7881112507	0.9127105213000001	1.0
