	GCF_000148465.1:157	GCF_000163875.1:158	GCF_001693675.1:159	GCF_003454755.1:160	GCF_005519465.1:161	GCF_015708605.1:162	GCF_015767735.1:163	GCF_015767755.1:164	GCF_015767775.1:165	GCF_015767795.1:166	GCF_015767815.1:167	GCF_015767855.1:168	GCF_015767875.1:169	GCF_015767895.1:170	GCF_015767915.1:171	GCF_015767935.1:172	GCF_015912395.1:173	GCF_015912435.1:174	GCF_015912455.1:175	GCF_015912465.1:176	GCF_015912875.1:177	GCF_015912895.1:178	GCF_015912925.1:179	GCF_015912945.1:180	GCF_015912975.1:181	GCF_015912985.1:182	GCF_015912995.1:183
GCF_000148465.1:157	1.0	0.9999180412	0.9998585674	0.9993486743000001	0.9999533359	0.9999438812	0.9998596173000001	0.9998333539	0.9998691019	0.9998481695	0.9998376315	0.9998467694000001	0.9998564111	0.9997971889	0.9998409175	0.9998494873	0.9998575264	0.9997552808000001	0.9998848836	0.9998287595	0.9997957879	0.9997744561	0.9996960478	0.9998001889	0.9998383346	0.9997964216	0.9998448065000001
GCF_000163875.1:158	0.9999180412	1.0	0.9998501223	0.9991979094000001	0.9999521458	0.9999479314	0.9998542449000001	0.9998249807	0.9998613602	0.9998406817000001	0.9998319758	0.9998413623000001	0.9998484003	0.9997952228	0.9998375728000001	0.9998452377	0.9998708949	0.99971782	0.9998614605	0.9997999755	0.9997617723000001	0.9997838224000001	0.9997102781	0.9997930399	0.9998077965000001	0.999753192	0.9998457494
GCF_001693675.1:159	0.9998585674	0.9998501223	1.0	0.9995303561000001	0.9998872447	0.9998841307	0.9999615627	0.9999310135	0.9999712744	0.9999540559000001	0.9999398538000001	0.9999538830000001	0.9999587098	0.9999002671	0.9999433538	0.9999508274000001	0.9998126604	0.9997740687000001	0.9998501463	0.9997787619	0.9998036638000001	0.9998005125	0.9996795469	0.999745736	0.9998061324	0.9997469143000001	0.999833603
GCF_003454755.1:160	0.9993486743000001	0.9991979094000001	0.9995303561000001	1.0	0.9994298338000001	0.9994522633	0.9995879809	0.9994317297	0.9995395808	0.9994166072	0.9994897823000001	0.9995174448	0.9994479764	0.9993638056	0.9994858911000001	0.9994971786000001	0.9997128175000001	0.9996611265	0.9998527368000001	0.9997849762000001	0.9997083254	0.9996993546	0.9995638761000001	0.9996454087000001	0.9998083411	0.9997520923000001	0.9998364691
GCF_005519465.1:161	0.9999533359	0.9999521458	0.9998872447	0.9994298338000001	1.0	0.9999899109	0.9998919016000001	0.9998581407	0.9998984657000001	0.999877761	0.9998673264000001	0.9998780787	0.9998860326000001	0.9998340231	0.9998735704	0.9998827727	0.9998980451	0.9997467991000001	0.9998854894	0.9998052731	0.9997885037	0.9998046068	0.9997248115	0.9998172759	0.9998332346000001	0.9997746070000001	0.9998680119000001
GCF_015708605.1:162	0.9999438812	0.9999479314	0.9998841307	0.9994522633	0.9999899109	1.0	0.9998890012	0.9998591907000001	0.9998988407	0.9998794875	0.9998668453	0.9998762537	0.9998878385000001	0.9998271691	0.9998700162	0.9998790141	0.9998987389	0.9997480066000001	0.9999265809000001	0.9998589165	0.9998094398	0.9998063034	0.9997447918000001	0.9997922971000001	0.9998765774	0.9998170532	0.9999111746
GCF_015767735.1:163	0.9998596173000001	0.9998542449000001	0.9999615627	0.9995879809	0.9998919016000001	0.9998890012	1.0	0.9999433537	0.9999846966	0.9999707858	0.9999530626	0.9999663665	0.9999704528000001	0.9999185803	0.9999703525	0.9999681477000001	0.9998109429	0.9997760404	0.9998524703	0.9997868877	0.9998109408	0.9997936584	0.9996646203	0.9997455669	0.9998085839	0.9997496432	0.9998367140000001
GCF_015767755.1:164	0.9998333539	0.9998249807	0.9999310135	0.9994317297	0.9998581407	0.9998591907000001	0.9999433537	1.0	0.9999464002	0.9999568967	0.9999411922	0.9999474783000001	0.9999594239	0.9999392957000001	0.9999376299	0.9999559771000001	0.9997566108	0.9997441009	0.999826359	0.9997691875	0.9997647094000001	0.9997570383000001	0.9996214514	0.9997059982000001	0.9997949295	0.9997322244000001	0.9998098942
GCF_015767775.1:165	0.9998691019	0.9998613602	0.9999712744	0.9995395808	0.9998984657000001	0.9998988407	0.9999846966	0.9999464002	1.0	0.9999739555	0.9999556073	0.9999633313	0.9999762277	0.9999376972	0.999980877	0.9999732923	0.9998151671000001	0.9997808085000001	0.9998547223	0.9997892762	0.9998151866	0.9997987324000001	0.9996688726	0.9997501485	0.9998097061000001	0.9997518968	0.9998389633
GCF_015767795.1:166	0.9998481695	0.9998406817000001	0.9999540559000001	0.9994166072	0.999877761	0.9998794875	0.9999707858	0.9999568967	0.9999739555	1.0	0.9999672350000001	0.9999753440000001	0.9999868234	0.9999335999000001	0.9999454746	0.9999832442000001	0.9998088150000001	0.9997744826	0.9998548265	0.9997884867000001	0.9998097574	0.9997926354000001	0.9996627666000001	0.9997440474	0.9998101488000001	0.9997517595000001	0.9998389231
GCF_015767815.1:167	0.9998376315	0.9998319758	0.9999398538000001	0.9994897823000001	0.9998673264000001	0.9998668453	0.9999530626	0.9999411922	0.9999556073	0.9999672350000001	1.0	0.9999555808	0.9999696592	0.9999449480000001	0.9999513684	0.999967377	0.9998054353	0.9997665292000001	0.9998526696000001	0.9997809022	0.9998031826	0.9997899008000001	0.9996610475000001	0.9997395990000001	0.9997943840000001	0.9997467696000001	0.9998372470000001
GCF_015767855.1:168	0.9998467694000001	0.9998413623000001	0.9999538830000001	0.9995174448	0.9998780787	0.9998762537	0.9999663665	0.9999474783000001	0.9999633313	0.9999753440000001	0.9999555808	1.0	0.9999768019	0.9999534721000001	0.9999596214	0.9999805727000001	0.9998123906	0.9997775192	0.9998551663	0.9997888559	0.9998123967	0.9997958928	0.9996650299000001	0.9997472171	0.9998090104	0.9997514195	0.9998389203
