	Streptomyces acidiscabies strain 98-49 Acid9849_contig000001.10, whole genome shotgun sequence:62	Streptomyces acidiscabies strain a2, whole genome shotgun sequence:63	Streptomyces acidiscabies strain ST105 NODE_1000_length_1092_cov_29.6384_ID_1999, whole genome shotgun sequence:64
Streptomyces acidiscabies strain 98-49 Acid9849_contig000001.10, whole genome shotgun sequence:62	1.0	0.9580223795	0.9533914798
Streptomyces acidiscabies strain a2, whole genome shotgun sequence:63	0.9233596707	1.0	0.9438746419
Streptomyces acidiscabies strain ST105 NODE_1000_length_1092_cov_29.6384_ID_1999, whole genome shotgun sequence:64	0.9037591694	0.9283260146000001	1.0
