	Streptomyces sp. LBUM 1482 chromosome:75	Streptomyces sp. LBUM 1475 chromosome:76	Streptomyces sp. LBUM 1487 LBUM1487seq1, whole genome shotgun sequence:77	Streptomyces sp. LBUM 1488 LBUM1488seq1, whole genome shotgun sequence:78	Streptomyces sp. LBUM 1483 LBUM1483seq1, whole genome shotgun sequence:79	Streptomyces sp. LBUM 1481 LBUM1481seq1, whole genome shotgun sequence:80	Streptomyces sp. LBUM 1486 LBUM1486seq1, whole genome shotgun sequence:379	Streptomyces sp. LBUM 1477 LBUM1477seq1, whole genome shotgun sequence:380	Streptomyces scabiei strain 96-08 9608_1.1, whole genome shotgun sequence:608	Streptomyces scabiei 87.22, complete sequence:655	Streptomyces scabiei strain 85-08 8508_1.1, whole genome shotgun sequence:656	Streptomyces scabiei strain 95-18 9518_1.1, whole genome shotgun sequence:657	Streptomyces scabiei strain 96-06 9606_1001.1.1, whole genome shotgun sequence:658	Streptomyces scabiei strain ST129 NODE_1000_length_1814_cov_35.8931_ID_2001, whole genome shotgun sequence:659	Streptomyces sp. LBUM 1480 chromosome:660	Streptomyces sp. LBUM 1479 LBUM1479seq1, whole genome shotgun sequence:661
Streptomyces sp. LBUM 1482 chromosome:75	1.0	1.0007710743	0.9999493992	0.9720537432	0.9275865823	0.9283967061	0.9358230628	0.9723405832	0.8611434451000001	0.9407626204	0.9147743588	0.9138075258	0.8123227758	0.903849596	0.9316983313	0.9318642406000001
Streptomyces sp. LBUM 1475 chromosome:76	1.0049299059	1.0	1.001434104	1.0065856283	0.9371797555	0.9371967952	0.9375893236	0.9807855104000001	0.8810163775000001	0.9552801995	0.9299463117000001	0.9079490177	0.8327656693000001	0.8930225721	0.9510811519000001	0.9565659762000001
Streptomyces sp. LBUM 1487 LBUM1487seq1, whole genome shotgun sequence:77	0.9816116158	0.9790007309000001	1.0	0.9760934146	0.9196972787000001	0.9268010971	0.921422582	0.9637575909	0.8629760113	0.9375255138	0.9156821075	0.8964201837	0.8145514131	0.8817788376000001	0.9319516189	0.9320868895000001
Streptomyces sp. LBUM 1488 LBUM1488seq1, whole genome shotgun sequence:78	0.9530336086000001	0.9828056359	0.9748721347	1.0	0.9124388335	0.9216851639	0.9163837354000001	0.9652904561000001	0.8634130472	0.9357152679	0.91135712	0.8914095129	0.8163180689	0.8736393641	0.9300429117000001	0.9317840967000001
Streptomyces sp. LBUM 1483 LBUM1483seq1, whole genome shotgun sequence:79	0.9239177172	0.9296098348	0.9331728047000001	0.9269678223000001	1.0	1.0008191379	0.9278119060000001	0.9224267742000001	0.8661531705000001	0.9375688618	0.9149474189000001	0.8948412232	0.8157681961000001	0.8799567389	0.9345651864000001	0.9343082958000001
Streptomyces sp. LBUM 1481 LBUM1481seq1, whole genome shotgun sequence:80	0.9199224721	0.9247991151	0.9354972413	0.9314987891000001	0.9956218087	1.0	0.9295260505	0.9214582424000001	0.8690479784	0.9445691446000001	0.9203694681000001	0.8947017848000001	0.8190451929	0.8796030821	0.9426346939	0.9377357669
Streptomyces sp. LBUM 1486 LBUM1486seq1, whole genome shotgun sequence:379	0.9111726214	0.9091144165	0.9139114203	0.9100522986	0.9069597660000001	0.91337863	1.0	0.9085921766	0.8864131509000001	0.9460414716000001	0.9235659426	0.9040995391000001	0.8345423881	0.8889151651	0.9897222135	0.9484752075
Streptomyces sp. LBUM 1477 LBUM1477seq1, whole genome shotgun sequence:380	0.9739896775	0.9783831318	0.9834269107	0.9862250166000001	0.9276603714	0.9315238178	0.9347554734	1.0	0.8750892392	0.9577657627	0.9256941404000001	0.9061097542000001	0.8270493878	0.8984200317000001	0.9483496234000001	0.9455002165
Streptomyces scabiei strain 96-08 9608_1.1, whole genome shotgun sequence:608	0.7521306999999999	0.7663034327	0.7678119623	0.7691631749000001	0.7595103171	0.7660267439	0.7951463843000001	0.7630170058	1.0	0.8027440312	0.7976518507	0.7712691881	0.7872515136	0.7517868702	0.8046377288000001	0.8331022088000001
Streptomyces scabiei 87.22, complete sequence:655	0.9068129449000001	0.916995929	0.9205748128000001	0.9199483283000001	0.9073231583	0.9188693719000001	0.9365714508	0.9216393832	0.8859249391	1.0	0.9582921745	0.9037894035	0.839942771	0.8917225318	0.9514798701	0.9556262160000001
