	GCF_000148465.1:157	GCF_000163875.1:158	GCF_001693675.1:159	GCF_003454755.1:160	GCF_005519465.1:161	GCF_015708605.1:162	GCF_015767735.1:163	GCF_015767755.1:164	GCF_015767775.1:165	GCF_015767795.1:166	GCF_015767815.1:167	GCF_015767855.1:168	GCF_015767875.1:169	GCF_015767895.1:170	GCF_015767915.1:171	GCF_015767935.1:172	GCF_015912395.1:173	GCF_015912435.1:174	GCF_015912455.1:175	GCF_015912465.1:176	GCF_015912875.1:177	GCF_015912895.1:178	GCF_015912925.1:179	GCF_015912945.1:180	GCF_015912975.1:181	GCF_015912985.1:182	GCF_015912995.1:183
GCF_000148465.1:157	1.0	0.9366974518000001	0.8242132884000001	0.8440734582	0.9374555963000001	0.9568460271	0.8272624904	0.8248235663	0.8220498643	0.8296997739	0.8270265819	0.8242585671	0.828588587	0.8276029554000001	0.8241783998000001	0.8260670894000001	0.9670914769000001	0.9637605410000001	0.7143715844	0.7088194776000001	0.9643548510000001	0.9633015201	0.9154695159	0.9637097938	0.7223993632	0.6939621645	0.7123669638
GCF_000163875.1:158	1.0008981065	1.0	0.8669349806000001	0.8922809824	0.9963309108	0.9987245369000001	0.8658060660000001	0.8632178599	0.8630498083	0.8705622322000001	0.8692589552000001	0.8639858958000001	0.8694184758	0.8689872444000001	0.8646872018	0.8644839739	0.9675250079000001	0.9622132662	0.7439073673000001	0.7377634309000001	0.9632295231	0.9620537457	0.9573207188	0.9631332264	0.7525925301	0.7223905596	0.7416052464
GCF_001693675.1:159	0.9927983477000001	0.9772764459000001	1.0	1.0023473282	0.9918283523	1.0026851073	1.0007567097	1.0063093831	0.9997457434	1.0035361422	1.003104433	0.9997745943	1.0049863268	1.0037989618	1.002297399	1.0019407811	0.9547806688	0.9490622676	0.8455852499000001	0.8388218937	0.9499317459000001	0.9494482633	0.9440004542	0.9520617045	0.8553643786	0.8222321144	0.8430368878000001
GCF_003454755.1:160	0.9576326214	0.9473921797	0.9440945512000001	1.0	0.9369978751	0.9579556093	0.9488597087	0.9521283018000001	0.9487418299	0.94975323	0.9491960976	0.9460657329000001	0.9534326617000001	0.9498220961	0.9504513207	0.9481200503	0.9127018132	0.907410668	0.8096127061	0.8031033146000001	0.9079975804	0.9077151676	0.9026505979	0.9102009213000001	0.8188236316	0.7876243389	0.8072031393
GCF_005519465.1:161	1.0032095885	0.9978242260000001	0.881162596	0.8838140206	1.0	1.0092459275	0.8844843088000001	0.8892704264	0.8840422486	0.8893799758	0.8855765263	0.8849786858	0.8882199922	0.8876469642	0.8858140005	0.8854787978	0.9722220727	0.9667648476	0.7470616518000001	0.7409465448	0.9676750679	0.9665926818	0.9622084796	0.9676620764	0.7557389989000001	0.7262961773000001	0.7447689548
GCF_015708605.1:162	1.0050547962	0.9817544385	0.8743610711	0.8868994378	0.9906123080000001	1.0	0.8775473583000001	0.8777301310000001	0.8720723343000001	0.8778415638	0.8772992194	0.8743919735000001	0.8766424555000001	0.877904977	0.8766116679	0.8763056299	0.9721549094	0.9666808045	0.7510022629	0.7449459505	0.9673891491000001	0.9665460512	0.9621511207000001	0.9677125338	0.7594214090000001	0.7301576762	0.7487625796
GCF_015767735.1:163	0.9967132324	0.9762408724	1.0009997477	1.0076511596	0.9958090188000001	1.0065834181	1.0	1.0048652541	0.9988126102	1.0013045343	1.0021879281	0.9990181732000001	1.0033991684	1.0017196134	1.0000047438	1.0011078	0.9533037331	0.9476519371000001	0.8457205015	0.8388786803	0.9484152873	0.9481355372	0.9426470055	0.9506241670000001	0.8555195308	0.8224531438	0.84317297
GCF_015767755.1:164	0.9839088294	0.9636596738000001	0.9965609965000001	1.0010841472	0.9912579382000001	0.9967979172	0.9948892441	1.0	0.9954610633000001	0.9927304736	0.9915951849	0.993540779	0.9934778959	0.9928497167	0.9956129221000001	0.9927377795000001	0.9394250054000001	0.9352838502	0.8360933859	0.8284412116000001	0.9346263169000001	0.9346361016	0.9291420456	0.9373655172	0.8459536457	0.8129356892	0.8343394419
GCF_015767775.1:165	0.9905416151	0.9732398780000001	1.0000983121	1.0076365806	0.9954205819	1.0004131479	0.9989222573000001	1.005553182	1.0	1.0018587042	1.003353153	1.00267762	1.0033787194	1.0025637572	0.9992431553000001	1.0016510101	0.9523900770000001	0.9467377922	0.8453215187	0.8384780238	0.9474999084	0.9472731054	0.9417319159	0.9497104802	0.8551205693	0.8220509478	0.8427727850000001
GCF_015767795.1:166	0.9753046470000001	0.9576980762	0.9793341669000001	0.9840369662	0.9769350708000001	0.9823987002000001	0.9769191291	0.9782658164	0.9773525117	1.0	0.9730600824000001	0.9750381379	0.97567452	0.9757656705000001	0.9784500458000001	0.9744146121	0.9311628719	0.9255943359000001	0.8252363677000001	0.8185603983	0.9263171116000001	0.9260588305	0.9207307055	0.9284937955	0.8347954694	0.8025351405000001	0.8227506208
GCF_015767815.1:167	0.9705852341000001	0.9547130433000001	0.9773248184000001	0.9818642957	0.9711791256000001	0.9801990377	0.9761947944	0.9755618834	0.9772225206	0.9714815264000001	1.0	0.9737509442000001	0.9729620837	0.9721804111000001	0.9764936013000001	0.9717759693	0.926032331	0.9206369926	0.8248999324	0.818221316	0.9239075675	0.9210714691	0.9157089893	0.9234670584	0.8344355688	0.7986160928	0.8224171912
GCF_015767855.1:168	0.9960341050000001	0.9770726652	1.0029779896	1.0076584805	0.9993154047	1.0059333796	1.0019758108	1.0064741835	1.0055357064	1.0023352894	1.0026385995	1.0	1.0026593488	1.0026404498	1.0047855591	1.0000019824	0.9529406805	0.9472742666	0.8466807833000001	0.8398197638	0.9480411984	0.9477599592	0.942255575	0.9502559567000001	0.8565096159000001	0.8233424269	0.8441287494
