	Streptomyces griseorubiginosus strain DSM 40125 PRJNA299218_s001, whole genome shotgun sequence:560	Streptomyces griseorubiginosus strain DSM 40469 PRJNA299230_s001, whole genome shotgun sequence:561	Streptomyces griseorubiginosus strain 3E-1 chromosome, complete genome:562
Streptomyces griseorubiginosus strain DSM 40125 PRJNA299218_s001, whole genome shotgun sequence:560	1.0	0.9293763116	0.9365378123
Streptomyces griseorubiginosus strain DSM 40469 PRJNA299230_s001, whole genome shotgun sequence:561	0.9001015025	1.0	0.8919792779
Streptomyces griseorubiginosus strain 3E-1 chromosome, complete genome:562	0.9408284658	0.925209343	1.0
