	GCF_002217715.1:48	GCF_002551375.1:49	GCF_002803175.1:50	GCF_002832675.1:51	GCF_003024215.1:52	GCF_003116775.1:53	GCF_009864905.1:54	GCF_009872565.1:55	GCF_013363455.1:56	GCF_013363655.1:57	GCF_013363665.1:58	GCF_014648875.1:59	GCF_016612575.1:60	GCF_016612605.1:61	GCF_016612645.1:62	GCF_016654065.1:63	GCF_900187925.1:64
GCF_002217715.1:48	1.0	0.8778263643	0.7246288393	0.7332400034000001	0.7760033404000001	0.800656378	0.8046618489	0.8656691018	0.7999527871000001	0.8001355892	0.7993494085	0.7860763955000001	0.9251413429	0.9111526398	0.9252151213	0.9223081728	0.8046618489
GCF_002551375.1:49	0.8473493784	1.0	0.707525547	0.7112255265	0.7505570725	0.7809028453	0.7939425245	0.8938679943000001	0.7726301299	0.7780061825	0.7725619597000001	0.763439973	0.8399579249	0.8269527751	0.8401859206000001	0.8374588583	0.7939425245
GCF_002803175.1:50	0.7465441316	0.7551410895	1.0	0.7386836957	0.8219681399000001	0.8392513434000001	0.8358017753	0.7488251009	0.8286022583	0.8274533055000001	0.8283430665	0.8381630901	0.7346042359	0.7200816353	0.7339838285	0.7305995664	0.8358017753
GCF_002832675.1:51	0.7321968623	0.7357582712	0.7159791156	1.0	0.7858243081	0.7671547194	0.7674504638	0.7263475052	0.7815381152	0.7878955697000001	0.7814132249	0.7597928896	0.7185876287	0.7054933213	0.717852864	0.715701888	0.7674504638
GCF_003024215.1:52	0.7588880025	0.7604031772000001	0.7802417926	0.7695872117	1.0	0.8293017631	0.8300870663000001	0.7575145579	0.8826352439	0.8827605117	0.8825407143	0.826246463	0.7448610936000001	0.7316868804000001	0.7446895255	0.7409043539	0.8300870663000001
GCF_003116775.1:53	0.7728681503	0.7809124613	0.7863418983	0.7415842394000001	0.8185736026	1.0	0.9556487015	0.7684984748	0.8268215381	0.8280634699	0.8267519706	0.8474293801	0.7619484683000001	0.7491147919000001	0.7611412062	0.7582351137000001	0.9556487015
GCF_009864905.1:54	0.7356051207000001	0.7519111098	0.7416427417	0.702586779	0.7759627685	0.9050453973	1.0	0.7328955911	0.7856301276000001	0.7886682344	0.7854166066	0.8056306566	0.7319443643	0.7213278222	0.7322616403000001	0.7284545691000001	0.9999446961
GCF_009872565.1:55	0.8867911005	0.9486126278	0.74457754	0.7451301663000001	0.793498841	0.8155548532	0.8212590826	1.0	0.8177215739	0.8157088395000001	0.8176593327	0.8007776915	0.8756938477	0.8617132923	0.8757537987	0.8724329217000001	0.8208431983000001
GCF_013363455.1:56	0.745037155	0.7454719738000001	0.7490655375	0.7289236249000001	0.8405832746	0.7977487161	0.800387638	0.7434463303000001	1.0	0.9631231950000001	1.0026277758	0.7964367879	0.7336757665	0.7205602819	0.7332907987	0.7303977221	0.8009439612
GCF_013363655.1:57	0.7419131841000001	0.7473407336	0.7447201841000001	0.7316046324000001	0.8369862095	0.7954151967	0.7999309804	0.7383380667	0.9588656642000001	1.0	0.9573725973	0.7918311776	0.7324320139	0.7194056023000001	0.7320075312000001	0.7290583459000001	0.7999292732000001
GCF_013363665.1:58	0.7445362974	0.7454673762	0.7488926827	0.7288669564	0.8405622290000001	0.7977470614000001	0.8002357769	0.7434507535	1.0027100626	0.9617024201000001	1.0	0.7963470747	0.7334024283	0.7204903102	0.7330418052000001	0.7300721773000001	0.8011669781
GCF_014648875.1:59	0.7440999721	0.7486650049	0.7701143101	0.7202446569000001	0.7997643661	0.8310187194	0.8342019179	0.7399614406	0.8094765450000001	0.8083689612	0.8093189412	1.0	0.7337080802	0.7191691914	0.731978173	0.7288468867	0.8355603481
GCF_016612575.1:60	0.9123198999000001	0.8581094716000001	0.7031575035000001	0.7096383577	0.7511043079	0.7784046402	0.7895611975	0.8429890781	0.7768365619	0.7789630841	0.7764834168	0.7643562618	1.0	0.9588437488	0.9746236145	0.9763321468	0.7901127678000001
GCF_016612605.1:61	0.9269161323	0.8715175096000001	0.7110353071000001	0.7187212691	0.7611328650000001	0.7894750925	0.8026951773000001	0.8557416808	0.7870567484000001	0.789284579	0.7869157363	0.7728831596	0.9891407306000001	1.0	0.9907621022	0.9934551121	0.8025781132
GCF_016612645.1:62	0.9274580675	0.8725153290000001	0.7141643731	0.7206182986	0.7633306664	0.7904193298000001	0.8029463206	0.8569671639	0.7892493284000001	0.7913664048	0.7889165866000001	0.7751453735	0.9907165827000001	0.9762738217	1.0	0.9903976831	0.8028514022000001
GCF_016654065.1:63	0.9277158478	0.8726669010000001	0.7133102375	0.7209238091	0.7620561445	0.7901027406000001	0.8015120523	0.8566463219	0.788832423	0.7908820221	0.7884161271	0.774477292	0.9958580742	0.9822857965	0.993795379	1.0	0.8016807136
GCF_900187925.1:64	0.7356051207000001	0.7519111098	0.7416427417	0.702586779	0.7759627685	0.9050453973	0.9999446961	0.7325244539	0.7861761934	0.7886665512000001	0.7863305633000001	0.8069425609	0.7324556848	0.7212226246	0.7321750777	0.7286078570000001	1.0
