	Streptomyces violaceusniger strain NRRL F-8817 P361contig1.1, whole genome shotgun sequence:221	Streptomyces sp. AgN23 chromosome, complete genome:222	Streptomyces antimycoticus strain NRRL B-24289 NRRL_B_24289_contig_1, whole genome shotgun sequence:223
Streptomyces violaceusniger strain NRRL F-8817 P361contig1.1, whole genome shotgun sequence:221	1.0	0.9569183784	0.9312340873
Streptomyces sp. AgN23 chromosome, complete genome:222	0.9217946025	1.0	0.8972994931
Streptomyces antimycoticus strain NRRL B-24289 NRRL_B_24289_contig_1, whole genome shotgun sequence:223	0.9013326417	0.9015802548	1.0
