	GCF_000403665.1:123	GCF_000717845.1:124	GCF_000739105.1:125	GCF_000972395.1:126	GCF_003013745.1:127	GCF_003387455.1:128	GCF_003671755.1:129	GCF_004795155.1:130	GCF_008124975.1:131	GCF_008125035.1:132	GCF_008931305.1:133	GCF_009862445.1:134	GCF_013317105.1:135	GCF_018070145.1:136	GCF_900104935.1:137
GCF_000403665.1:123	1.0	0.9936460085000001	0.9992072865	0.9991705629000001	0.9931814236000001	0.9937290110000001	0.9842552306000001	0.9929958982	0.9923599409	0.9923439832000001	0.9923097287	0.9922974612000001	0.9923406594	0.9937729193	0.9937403586
GCF_000717845.1:124	0.9936460085000001	1.0	0.9938938227	0.9938761726	0.9963267406	0.9937748535	0.9842852362000001	0.993447594	0.9936293736	0.9936192807	0.9935963575000001	0.9935738477	0.9935991207	0.9938186917	0.9937940763
GCF_000739105.1:125	0.9992072865	0.9938938227	1.0	0.9997816477	0.9938725931000001	0.9940710999000001	0.9847769550000001	0.9932699202	0.9933002569	0.9932970507000001	0.9932691140000001	0.9932526007	0.9933154439	0.9941676396	0.9940905418
GCF_000972395.1:126	0.9991705629000001	0.9938761726	0.9997816477	1.0	0.9934155181000001	0.9940555399000001	0.9842515201	0.993264032	0.9924319915	0.992428909	0.9924162221	0.992398804	0.9924430925000001	0.9941425778	0.9940777079
GCF_003013745.1:127	0.9931814236000001	0.9963267406	0.9938725931000001	0.9934155181000001	1.0	0.9937687629	0.9846179380000001	0.9933420238	0.9928317317	0.9928314942	0.9928422506000001	0.9928205138	0.9928388715	0.9938276767	0.9937708422
GCF_003387455.1:128	0.9937290110000001	0.9937748535	0.9940710999000001	0.9940555399000001	0.9937687629	1.0	0.9844915980000001	0.9931375840000001	0.9929870163000001	0.9929806845	0.9929612103000001	0.9929434938	0.9929436499000001	0.9937388548	0.9999660667
GCF_003671755.1:129	0.9842552306000001	0.9842852362000001	0.9847769550000001	0.9842515201	0.9846179380000001	0.9844915980000001	1.0	0.984541788	0.9844114145	0.9843999931	0.9844102059000001	0.9844144962	0.9843150525000001	0.9843239868	0.9844625062000001
GCF_004795155.1:130	0.9929958982	0.993447594	0.9932699202	0.993264032	0.9933420238	0.9931375840000001	0.984541788	1.0	0.9937542374	0.9937480928	0.9937308453	0.9937127041	0.9937385532	0.9928740836000001	0.9932550976000001
GCF_008124975.1:131	0.9923599409	0.9936293736	0.9933002569	0.9924319915	0.9928317317	0.9929870163000001	0.9844114145	0.9937542374	1.0	0.9999810534	0.9999666848000001	0.9999594435	0.9999736253	0.9929924813000001	0.9930131533000001
GCF_008125035.1:132	0.9923439832000001	0.9936192807	0.9932970507000001	0.992428909	0.9928314942	0.9929806845	0.9843999931	0.9937480928	0.9999810534	1.0	0.9999567628	0.9999502083	0.9999634285000001	0.9929851588	0.9930106284
GCF_008931305.1:133	0.9923097287	0.9935963575000001	0.9932691140000001	0.9924162221	0.9928422506000001	0.9929612103000001	0.9844102059000001	0.9937308453	0.9999666848000001	0.9999567628	1.0	0.9999781297	0.9999576709	0.9930042187	0.9929760543
GCF_009862445.1:134	0.9922974612000001	0.9935738477	0.9932526007	0.992398804	0.9928205138	0.9929434938	0.9844144962	0.9937127041	0.9999594435	0.9999502083	0.9999781297	1.0	0.9999503816	0.9929816744000001	0.9929583381
GCF_013317105.1:135	0.9923406594	0.9935991207	0.9933154439	0.9924430925000001	0.9928388715	0.9929436499000001	0.9843150525000001	0.9937385532	0.9999736253	0.9999634285000001	0.9999576709	0.9999503816	1.0	0.9929877692	0.9929580715
GCF_018070145.1:136	0.9937729193	0.9938186917	0.9941676396	0.9941425778	0.9938276767	0.9937388548	0.9843239868	0.9928740836000001	0.9929924813000001	0.9929851588	0.9930042187	0.9929816744000001	0.9929877692	1.0	0.993733469
GCF_900104935.1:137	0.9937403586	0.9937940763	0.9940905418	0.9940777079	0.9937708422	0.9999660667	0.9844625062000001	0.9932550976000001	0.9930131533000001	0.9930106284	0.9929760543	0.9929583381	0.9929580715	0.993733469	1.0
