	Streptomyces rubrolavendulae strain MJM4426 chromosome, complete genome:763	Streptomyces fradiae ATCC 10745 = DSM 40063 contig00001, whole genome shotgun sequence:764	Streptomyces fradiae ATCC 10745 = DSM 40063 strain ATCC 10745 chromosome, complete genome:765
Streptomyces rubrolavendulae strain MJM4426 chromosome, complete genome:763	1.0	0.9456825968	0.9744153604
Streptomyces fradiae ATCC 10745 = DSM 40063 contig00001, whole genome shotgun sequence:764	0.9213164904000001	1.0	0.9934690348
Streptomyces fradiae ATCC 10745 = DSM 40063 strain ATCC 10745 chromosome, complete genome:765	0.9480009082	0.9921001597	1.0
