accession,organism_name,strain_name,assembly_level,total_16S_copies,unique_16S_copies,degree,ANI_species_ID,ANI_genus_ID,NCBI_taxID
GCF_003947455.1,Streptomyces sp.,WAC 04229,Contig,1,1,0,NA,NA,1887
GCF_014653855.1,Streptomyces capitiformicae,CGMCC 4.7403,Scaffold,1,1,0,NA,NA,2014920
GCF_900230195.1,Streptomyces zhaozhouensis,CGMCC 4.7095,Contig,1,1,0,NA,NA,1300267
GCF_003851625.1,Streptomyces sp.,NL15-2K,Scaffold,1,1,0,NA,NA,1887
GCF_000720455.1,Streptomyces virginiae,NRRL ISP-5094,Contig,1,1,22,1,1,1961
GCF_018069625.1,Streptomyces yatensis,DSM 41771,Complete,6,5,0,NA,NA,155177
GCF_008704445.1,Streptomyces prasinus,ATCC 13879,Complete,6,4,1,145,114,67345
GCF_009650765.1,Streptomyces sp.,SUK 48,Complete,7,3,1,56,45,1887
GCF_003344445.1,Streptomyces lincolnensis,LC-G,Complete,6,3,2,39,31,1915
GCF_014495705.1,Streptomyces sp.,CB00271,Complete,6,6,20,73,60,1887
GCF_014650155.1,Streptomyces purpurascens,JCM 4509,Scaffold,1,1,0,NA,NA,1924
GCF_001953875.1,Streptomyces amritsarensis,MTCC 11845,Scaffold,1,1,2,158,124,681158
GCF_002879675.3,Streptomyces sp.,SMS_SU21,Contig,6,3,2,37,29,1887
GCF_017916255.1,Streptomyces mobaraensis,DSM 40847,Complete,7,1,1,195,153,35621
GCF_015767815.1,Streptomyces clavuligerus,F1D14,Complete,6,3,26,33,26,1901
GCF_015767895.1,Streptomyces clavuligerus,F1D31,Complete,6,3,26,33,26,1901
GCF_001445655.1,Streptomyces roseifaciens,MBT76,Scaffold,3,1,0,NA,NA,1488406
GCF_003595235.1,Streptomyces griseorubiginosus,3E-1,Complete,6,2,2,25,18,67304
GCF_001550215.1,Streptomyces scabiei,85-08,Contig,5,1,15,185,145,1930
GCF_004795715.1,Streptomyces sp.,SS52,Complete,6,2,10,203,159,1887
GCF_014205055.1,Streptomyces luteogriseus,DSM 40483,Contig,6,2,1,221,175,68233
GCF_013870515.1,Streptomyces albidus,CAP215,Contig,1,1,0,NA,NA,67266
GCF_001279485.1,Streptomyces sp.,XY511,Contig,1,1,22,1,1,1887
GCF_009862365.1,Streptomyces sp.,SID7815,Contig,6,3,18,74,61,1887
GCF_011170105.1,Streptomyces rutgersensis,NBRC 12819,Contig,7,4,7,108,87,53451
GCF_001279765.1,Streptomyces sp.,XY413,Contig,1,1,22,1,1,1887
GCF_015475835.1,Streptomyces sp.,NRRL B-1677,Scaffold,1,1,0,NA,NA,1887
GCF_000262345.1,Streptomyces xiaopingdaonensis,DUT 180,Contig,1,1,0,NA,NA,1565415
GCF_002261115.1,Streptomyces kasugaensis,BCRC 12349,Scaffold,4,1,2,46,38,1946
GCF_014655335.1,Streptomyces griseus,JCM 4516,Scaffold,1,1,4,112,91,1886
GCF_001550325.1,Streptomyces europaeiscabiei,89-04,Contig,7,1,4,186,145,146819
GCF_017948455.1,Streptomyces sp.,GESEQ-4,Contig,1,1,0,NA,NA,1887
GCF_000444875.1,Streptomyces collinus,Tu 365,Complete,6,1,0,NA,NA,42684
GCF_003955715.1,Streptomyces aquilus,GGCR-6,Complete,6,2,1,91,72,2548456
GCF_016755835.1,Streptomyces cinnamonensis,NBRC 15873,Contig,6,1,22,1,1,1961
GCF_018614615.1,Streptomyces sp.,SL-100,Scaffold,1,1,1,194,152,1887
GCF_013363715.1,Streptomyces sp.,CAI-21,Contig,1,1,32,107,87,1887
GCF_001418565.1,Streptomyces graminilatus,NRRL B-59124,Scaffold,1,1,0,NA,NA,1464070
GCF_008039505.1,Streptomyces sp.,B2014 016-6,Contig,1,1,1,41,33,1887
GCF_014650375.1,Streptomyces nitrosporeus,JCM 4598,Scaffold,1,1,1,13,8,28894
