	Streptomyces ipomoeae strain B12321 contig_1, whole genome shotgun sequence:47	Streptomyces ipomoeae strain 78-51 Contig_001, whole genome shotgun sequence:48	Streptomyces ipomoeae strain 88-35 Pai_8835_1, whole genome shotgun sequence:49
Streptomyces ipomoeae strain B12321 contig_1, whole genome shotgun sequence:47	1.0	0.9890028016	0.9888579366
Streptomyces ipomoeae strain 78-51 Contig_001, whole genome shotgun sequence:48	0.9890028016	1.0	0.9968424672
Streptomyces ipomoeae strain 88-35 Pai_8835_1, whole genome shotgun sequence:49	0.9888579366	0.9968424672	1.0
