	Streptomyces eurocidicus strain ATCC 27428 Seur_scaffold01, whole genome shotgun sequence:793	Streptomyces eurocidicus strain CECT 3259 Ga0436944_01, whole genome shotgun sequence:794	Streptomyces eurocidicus strain NRRL ISP-5604 ISP5604_XRG_trimmed_paired_contig_1, whole genome shotgun sequence:795
Streptomyces eurocidicus strain ATCC 27428 Seur_scaffold01, whole genome shotgun sequence:793	1.0	1.0001220439	0.9964715705
Streptomyces eurocidicus strain CECT 3259 Ga0436944_01, whole genome shotgun sequence:794	1.0051193979	1.0	1.0086499997
Streptomyces eurocidicus strain NRRL ISP-5604 ISP5604_XRG_trimmed_paired_contig_1, whole genome shotgun sequence:795	0.9980261942	1.0052008917	1.0
