	Streptomyces sp. NRRL S-575 contig1.1, whole genome shotgun sequence:348	Streptomyces sp. NRRL F-2580 contig1.1, whole genome shotgun sequence:349	Streptomyces sp. NRRL S-515 contig1.1, whole genome shotgun sequence:350	Streptomyces xanthophaeus strain NRRL B-3004 contig1.1, whole genome shotgun sequence:351	Streptomyces subrutilus strain 10-1-1 plasmid pACMP1, whole genome shotgun sequence:352	Streptomyces sp. CG 926 Ga0105840_101, whole genome shotgun sequence:353	Streptomyces xanthophaeus strain NBRC 12829 sequence01, whole genome shotgun sequence:354	Streptomyces sp. ISL-94 ISL94_10, whole genome shotgun sequence:355
Streptomyces sp. NRRL S-575 contig1.1, whole genome shotgun sequence:348	1.0	0.6241657549	1.0149085473	0.5606666639	0.5370447626	0.8369561464	0.5604570378	0.5187912921
Streptomyces sp. NRRL F-2580 contig1.1, whole genome shotgun sequence:349	0.6419863932000001	1.0	0.6415562365	0.5758063218	0.5788644243000001	0.6348541753	0.5740666323	0.5510942769
Streptomyces sp. NRRL S-515 contig1.1, whole genome shotgun sequence:350	1.0154657919	0.6240900129	1.0	0.5608835114	0.5369984712	0.837073257	0.5605522562	0.5191214044
Streptomyces xanthophaeus strain NRRL B-3004 contig1.1, whole genome shotgun sequence:351	0.5684198278	0.5675642430000001	0.5683276287	1.0	0.5482612406	0.5624337683	0.96235345	0.5060549171000001
Streptomyces subrutilus strain 10-1-1 plasmid pACMP1, whole genome shotgun sequence:352	0.5763857684	0.6040233631	0.5760198172000001	0.5803978886	1.0	0.5779634852000001	0.5824805488	0.5539693414
Streptomyces sp. CG 926 Ga0105840_101, whole genome shotgun sequence:353	0.8540019823	0.62980234	0.8536527724	0.5660607980000001	0.5494824341	1.0	0.5643746536	0.5269498841
Streptomyces xanthophaeus strain NBRC 12829 sequence01, whole genome shotgun sequence:354	0.5625985257	0.5602639525	0.5623853253000001	0.9528540542	0.5447972747000001	0.5552231786	1.0	0.4996262926
Streptomyces sp. ISL-94 ISL94_10, whole genome shotgun sequence:355	0.6118113198	0.6318657934	0.6118646721000001	0.5886511478	0.6087063002	0.6090289931	0.5869672258	1.0
