	Streptomyces indonesiensis strain DSM 41759 DSM41759-1_1_1, whole genome shotgun sequence:276	Streptomyces asiaticus strain DSM 41761 DSM_41761_DNA2_1_1, whole genome shotgun sequence:277	Streptomyces rhizosphaericus strain DSM 41760 DSM41760-2_1_1, whole genome shotgun sequence:461
Streptomyces indonesiensis strain DSM 41759 DSM41759-1_1_1, whole genome shotgun sequence:276	1.0	1.0453675388	0.8881267752
Streptomyces asiaticus strain DSM 41761 DSM_41761_DNA2_1_1, whole genome shotgun sequence:277	1.0267886902	1.0	0.8800562186
Streptomyces rhizosphaericus strain DSM 41760 DSM41760-2_1_1, whole genome shotgun sequence:461	0.9381835346	0.9464794588000001	1.0
