	GCF_000261345.2:690	GCF_000932225.2:691	GCF_001905405.1:692	GCF_002154385.1:693	GCF_003147545.1:694	GCF_003263885.1:695	GCF_003263925.1:696	GCF_003353555.1:697	GCF_003989035.1:698	GCF_014649875.1:699
GCF_000261345.2:690	1	265886	267139	236278	265537	266102	265678	266462	225806	228166
GCF_000932225.2:691	265886	1	28286	37249	303	413	189	37725	258622	260544
GCF_001905405.1:692	267139	28286	1	39522	28469	28556	28434	42440	258864	259968
GCF_002154385.1:693	236278	37249	39522	1	37013	37624	36996	32404	230520	231571
GCF_003147545.1:694	265537	303	28469	37013	1	533	407	37827	258655	260634
GCF_003263885.1:695	266102	413	28556	37624	533	1	515	38015	258907	260896
GCF_003263925.1:696	265678	189	28434	36996	407	515	1	37595	258270	260567
GCF_003353555.1:697	266462	37725	42440	32404	37827	38015	37595	1	259901	260952
GCF_003989035.1:698	225806	258622	258864	230520	258655	258907	258270	259901	1	33668
GCF_014649875.1:699	228166	260544	259968	231571	260634	260896	260567	260952	33668	1
