	Streptomyces cattleya NRRL 8057 = DSM 46488, complete sequence:201	Streptomyces sp. SID5468 SID5468.c1, whole genome shotgun sequence:202	Streptomyces cattleya NRRL 8057 = DSM 46488, complete sequence:268
Streptomyces cattleya NRRL 8057 = DSM 46488, complete sequence:201	1.0	0.7764004758	1.0075631262
Streptomyces sp. SID5468 SID5468.c1, whole genome shotgun sequence:202	1.0	1.0	1.0065039944
Streptomyces cattleya NRRL 8057 = DSM 46488, complete sequence:268	1.0071944774	0.7811642619	1.0
