	Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213	Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214	Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215	Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216	Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217	Streptomyces sp. COG20 ctg.s1.000000F_arrow, whole genome shotgun sequence:218
Streptomyces sp. IBTA2 000000F_arrow, whole genome shotgun sequence:213	1.0	0.9913360167	0.9379713546	0.977102083	1.0003238688	0.9552951248
Streptomyces sp. COG21 ctg.s1.000000F_arrow, whole genome shotgun sequence:214	0.9822635284000001	1.0	0.9638020859	0.9991561574000001	1.021287337	0.9763808445000001
Streptomyces sp. CYG21 000000F_arrow, whole genome shotgun sequence:215	0.9653914342000001	1.0011394927	1.0	0.9757891463	0.9930262284	0.9532843559
Streptomyces sp. CYG20 000000F_arrow, whole genome shotgun sequence:216	0.9677003233	0.9986819078	0.9389512934	1.0	0.9956771758	0.9507274566
Streptomyces sp. COG19 ctg.s1.000000F_arrow, whole genome shotgun sequence:217	0.9880741136000001	1.0180982782	0.9530062385	0.9930394333	1.0	0.9671303590000001
Streptomyces sp. COG20 ctg.s1.000000F_arrow, whole genome shotgun sequence:218	0.9875076521	1.0186266277	0.9574398699000001	0.9923342874000001	1.0121363788	1.0
