	Streptomyces sp. MBT28 contig_1, whole genome shotgun sequence:392	Streptomyces sp. CS207 scaffold00001, whole genome shotgun sequence:393	Streptomyces sp. WAC02707 AA000295-100_WAC02707, whole genome shotgun sequence:394	Streptomyces sp. WAC08401 AA000124-10_WAC08401, whole genome shotgun sequence:395	Streptomyces sp. WAC08452 AA000125-10_WAC08452, whole genome shotgun sequence:396	Streptomyces sp. SS52 chromosome, complete genome:397	Streptomyces sp. SGAir0924 chromosome, complete genome:398	Streptomyces sp. KAI 90 NODE_100_length_570_cov_1041.16, whole genome shotgun sequence:399	Streptomyces sp. RT42 RT42_contig_1, whole genome shotgun sequence:400	Streptomyces sp. Babs14 contig_1, whole genome shotgun sequence:401	Streptomyces sp. Osf17 contig_4, whole genome shotgun sequence:402
Streptomyces sp. MBT28 contig_1, whole genome shotgun sequence:392	1.0	0.7796838395	0.9506772637	0.9232819768	0.9213799411	0.9122604651	0.9547933224	0.9390946245	0.9335495713	0.9227649550000001	0.9229776111
Streptomyces sp. CS207 scaffold00001, whole genome shotgun sequence:393	0.9363620663000001	1.0	0.9580457261	0.9682332515000001	0.9631380633000001	0.9522936074	0.9553380259	0.9627018602	0.953417802	0.9651180082	0.9654161628000001
Streptomyces sp. WAC02707 AA000295-100_WAC02707, whole genome shotgun sequence:394	0.8607277591	0.7222601624	1.0	0.8620690591	0.8466015176	0.8481853535	0.8798277950000001	0.8770641988000001	0.8596904207	0.847843835	0.848030488
Streptomyces sp. WAC08401 AA000124-10_WAC08401, whole genome shotgun sequence:395	0.8998941489000001	0.7857995664	0.9280394245	1.0	0.9245209606	0.9304304504	0.9272656353000001	0.9299776729	0.9167286323	0.9315293919000001	0.9315986847000001
Streptomyces sp. WAC08452 AA000125-10_WAC08452, whole genome shotgun sequence:396	0.9274020352000001	0.8072212003	0.9411863762	0.9547484965	1.0	0.9366638668	0.9441174995	0.9690267028	0.9473710753000001	0.9692879095	0.9668456211
Streptomyces sp. SS52 chromosome, complete genome:397	0.8921387896	0.775459568	0.9161606516	0.9335560838	0.9100558465	1.0	0.9125296843	0.9183056789	0.9087212986000001	0.9191671111	0.9192525212
Streptomyces sp. SGAir0924 chromosome, complete genome:398	0.9457975552000001	0.7879898075	0.9626175824000001	0.9424013702	0.9291494413	0.9243197790000001	1.0	0.9467073714	0.9426744017	0.9315504105	0.9316210818
Streptomyces sp. KAI 90 NODE_100_length_570_cov_1041.16, whole genome shotgun sequence:399	0.9167960651	0.7825821150000001	0.9457188986	0.9314913748	0.9398744406	0.9167208046	0.9330186624000001	1.0	0.9304008907	0.9301668148000001	0.9302341467
Streptomyces sp. RT42 RT42_contig_1, whole genome shotgun sequence:400	0.9133332967000001	0.7766938832	0.9289691511	0.9201860235	0.9208369470000001	0.9090945318	0.9310324258	0.9323922141000001	1.0	0.9187316221	0.9188009317
Streptomyces sp. Babs14 contig_1, whole genome shotgun sequence:401	0.9232757627	0.8040730072000001	0.9369652994000001	0.9562684661	0.9635269059	0.9404186870000001	0.9409312445	0.9533180099	0.9395872187000001	1.0	0.9956173831
Streptomyces sp. Osf17 contig_4, whole genome shotgun sequence:402	0.9271795893	0.8075361687	0.9409173143	0.9601619528	0.9649405103	0.9442651412	0.9447636816	0.9571975704000001	0.9434137818	0.9995967245	1.0
