	Streptomyces buecherae strain NA00687 chromosome, complete genome:376	Streptomyces buecherae strain AC563 contig_1000_(1..2521)_consensus, whole genome shotgun sequence:377	Streptomyces buecherae strain AC541 chromosome, complete genome:378
Streptomyces buecherae strain NA00687 chromosome, complete genome:376	1.0	0.8164683022	0.8611486408
Streptomyces buecherae strain AC563 contig_1000_(1..2521)_consensus, whole genome shotgun sequence:377	0.9096678611000001	1.0	0.9297337603
Streptomyces buecherae strain AC541 chromosome, complete genome:378	0.9303837585	0.9015692252	1.0
