	GCF_000972435.1:723	GCF_003116795.1:724	GCF_003949835.1:725	GCF_003984925.1:726	GCF_003984935.1:727	GCF_003984975.1:728	GCF_004795715.1:729	GCF_005490965.1:730	GCF_013363575.1:731	GCF_018070055.1:732	GCF_019029485.1:733	GCF_019029505.1:734
GCF_000972435.1:723	8003530	6240223	7608774	7389515	7402445	7374292	7301304	7641717	7516072	7471692	7385377	7387079
GCF_003116795.1:724	6240223	6664327	6384730	6452623	6389987	6418667	6346396	6366685	6415760	6353888	6431862	6433849
GCF_003949835.1:725	7608774	6384730	8839931	7620631	7479370	7483899	7497900	7777617	7753187	7599604	7494881	7496531
GCF_003984925.1:726	7389515	6452623	7620631	8211538	7624192	7591739	7640265	7614277	7636547	7527752	7649289	7649858
GCF_003984935.1:727	7402445	6389987	7479370	7624192	8168388	7738625	7510280	7549381	7733840	7528445	7711580	7712147
GCF_003984975.1:728	7374292	6418667	7483899	7591739	7738625	7951559	7447938	7507206	7705273	7533077	7707350	7687930
GCF_004795715.1:729	7301304	6346396	7497900	7640265	7510280	7447938	8184045	7468184	7515455	7437016	7522505	7523204
GCF_005490965.1:730	7641717	6366685	7777617	7614277	7549381	7507206	7468184	8079654	7649068	7616483	7526605	7527176
GCF_013363575.1:731	7516072	6415760	7753187	7636547	7733840	7705273	7515455	7649068	8198194	7627607	7625688	7626240
GCF_018070055.1:732	7471692	6353888	7599604	7527752	7528445	7533077	7437016	7616483	7627607	8180685	7515854	7516421
GCF_019029485.1:733	7385377	6431862	7494881	7649289	7711580	7707350	7522505	7526605	7625688	7515854	7999102	7964045
GCF_019029505.1:734	7387079	6433849	7496531	7649858	7712147	7687930	7523204	7527176	7626240	7516421	7964045	7967258
