	GCF_000299175.2:418	GCF_000359525.1:419	GCF_001431765.1:420	GCF_001577385.1:421	GCF_001704195.1:422	GCF_002802945.1:423	GCF_002910725.2:424	GCF_002910795.1:425	GCF_003687515.1:426	GCF_004124335.1:427	GCF_004195745.1:428	GCF_004195755.1:429	GCF_004195845.1:430	GCF_004195855.1:431	GCF_004195895.1:432	GCF_004195935.1:433	GCF_004195945.1:434	GCF_004195955.1:435	GCF_004195965.1:436	GCF_004195995.1:437	GCF_004196035.1:438	GCF_004196145.1:439	GCF_004196155.1:440	GCF_009834105.1:441	GCF_009846825.1:442	GCF_009862345.1:443	GCF_009863175.1:444	GCF_009865275.1:445	GCF_011170105.1:446	GCF_011170125.1:447	GCF_011170145.1:448	GCF_012184365.2:449	GCF_013363715.1:450	GCF_013371965.1:451	GCF_013376795.1:452	GCF_013693715.1:453	GCF_014216335.1:454	GCF_014281095.1:455	GCF_014648935.1:456	GCF_015680775.2:457	GCF_019067045.1:458	GCF_900091785.1:459	GCF_900091885.1:460	GCF_900171555.1:461	GCF_900460115.1:462
GCF_000299175.2:418	1.0	0.9903879309	0.9884243502000001	0.9902778222	0.9883053846000001	0.9162398525000001	0.9903557654	0.9899168190000001	0.9887898367000001	0.9856289677000001	0.9904426982000001	0.990246433	0.9899572194	0.9905358689	0.9883561987	0.985965344	0.9858856158	0.9859676253	0.9860446890000001	0.9860487808	0.9880929855	0.9886436234	0.9886395206	0.9881803475000001	0.9883627871	0.9903879309	0.988360228	0.9902255956	0.9165289814	0.9160950049000001	0.9169235114000001	0.9898002204	0.9878955250000001	0.9873176591	0.9906751260000001	0.9904071407	0.9162956474	0.9882990840000001	0.9161629736	0.9160479598	0.9881641390000001	0.9902436394	0.9883830168000001	0.9898746739000001	0.9166568543
GCF_000359525.1:419	0.9903879309	1.0	0.9891307260000001	0.9909517011000001	0.9886926224	0.9161356468	0.9917344968	0.9904894698000001	0.9891319023	0.986613622	0.9908007858000001	0.9912430371000001	0.9906197147	0.9917860717	0.9889699976	0.9869007149000001	0.9866479903	0.9868947429	0.9867566270000001	0.9870009894	0.9887503389000001	0.9891765997	0.9891779832	0.9889713106	0.9891109427	1.0	0.9889297906000001	0.9916458209000001	0.9163697098	0.9161984777000001	0.916821203	0.9908071105	0.9885090635	0.9879516346	0.9917134668	0.9999333990000001	0.9164893862	0.9890067134	0.9160104295	0.9157524568000001	0.988885199	0.9916686599000001	0.9889304561000001	0.9915539624	0.9166289073
GCF_001431765.1:420	0.9884243502000001	0.9891307260000001	1.0	0.9890175683	0.9896799376000001	0.9156526034	0.9886101172	0.9883755654	0.9896818222	0.9861618874	0.9889752208	0.9889339882	0.9887179002	0.9888566706	0.9896928623000001	0.9862366863	0.9860985713	0.9862171084	0.9865240738000001	0.9865211898	0.9893942431	0.9896766765	0.9896732876000001	0.9897015578	0.9997102331000001	0.9891330271000001	0.9887453796000001	0.9889598887000001	0.9157888167	0.9161347778000001	0.9167566044000001	0.9888260334000001	0.9888986922	0.9884046538000001	0.9890586793	0.989128435	0.9164350413000001	0.9893199831	0.9159465439000001	0.9156040697000001	0.9894847980000001	0.9889622789	0.9887390362	0.9890065715	0.9163205518
GCF_001577385.1:421	0.9902778222	0.9909517011000001	0.9890175683	1.0	0.9886776624	0.9158217611	0.9910859630000001	0.990491285	0.989165622	0.9864909854	0.9911353932	0.9909408526000001	0.9908316171	0.9911781422	0.9890945324	0.9867847049	0.9865832739	0.9867495478	0.9866309150000001	0.9867508118	0.9887551758	0.9891414488	0.9891376337000001	0.9889352256	0.9890075517	0.9909516955000001	0.9887100427000001	0.9913912958000001	0.9163175319	0.9163403634	0.9167602886	0.9905199813000001	0.9882762144	0.9878917336	0.9911556977	0.9909472793	0.9164027113000001	0.9889388425000001	0.9161898759	0.9154715878	0.9888115057	0.9914123277	0.988719392	0.9907003611	0.9165600780000001
GCF_001704195.1:422	0.9883053846000001	0.9886926224	0.9896799376000001	0.9886776624	1.0	0.9154980795000001	0.9887070018	0.9884598775000001	0.9888439355	0.9856556946	0.9886462179000001	0.9886627807	0.9888242497	0.9887030129000001	0.9886509361	0.9858239588000001	0.9856059041	0.9858072136	0.9859709757	0.9859089190000001	0.9884725192	0.9886538644	0.9886755094	0.9887414120000001	0.9896758265000001	0.9887296550000001	0.9882535066	0.9890452322000001	0.9161395211000001	0.9157471371	0.9163856247000001	0.9890884441000001	0.9884940414000001	0.9872742827000001	0.9888720963000001	0.9887409818	0.9157708986	0.988702991	0.9155215092000001	0.9151309738000001	0.9887641193000001	0.9890654342	0.988250551	0.9885880234000001	0.9162491973
GCF_002802945.1:423	0.9162398525000001	0.9161356468	0.9156526034	0.9158217611	0.9154980795000001	1.0	0.9155552329000001	0.9201624952	0.9179940558	0.9157144076	0.9157211311000001	0.9154548784000001	0.9155192877	0.9154684407	0.9158500810000001	0.9158431241	0.9156302806000001	0.9158534887	0.9154741155	0.9156857139000001	0.9159008037	0.9155652332	0.9155659880000001	0.9157758566	0.9154940383	0.9161511804	0.9159839336000001	0.9161723806000001	0.9959776286	0.9962181881000001	0.9963056720000001	0.9155936789	0.9155390596	0.9150870035	0.9155986975	0.9161507058	0.9967152247000001	0.9153483353	0.9962118756	0.9947940264	0.9156778956	0.9161643348	0.9159668569	0.9158653741	0.9962104231000001
GCF_002910725.2:424	0.9903557654	0.9917344968	0.9886101172	0.9910859630000001	0.9887070018	0.9155552329000001	1.0	0.9901104504	0.9889371847	0.9862558862	0.9913576940000001	0.9921577211	0.9909689667	0.9994650938	0.9887480079000001	0.9866328684000001	0.9862688468	0.9866324369	0.9867532268	0.9864836127000001	0.9886337558	0.9890620428	0.9890620962000001	0.9887879924	0.9884642477000001	0.9917102525	0.9885808069	0.9932429352000001	0.9158452225	0.9161525713	0.9167873911000001	0.9908760244	0.9884105845000001	0.9878149118	0.9988457683	0.9917051684	0.9164543399	0.9887221729000001	0.916071649	0.9153693694	0.9887273316	0.993238554	0.9885919823	0.9905698106	0.9164662558000001
GCF_002910795.1:425	0.9899168190000001	0.9904894698000001	0.9883755654	0.990491285	0.9884598775000001	0.9201624952	0.9901104504	1.0	0.9885120391000001	0.9862807562	0.9901442212	0.9901169665	0.9897132594	0.9902442725	0.9885650117	0.9864498255	0.9861483494000001	0.9864255916	0.9864226548	0.9864233133	0.9882393578	0.9885531052000001	0.9885525495	0.9884113804	0.9883292241	0.9905003152	0.9880510768	0.9901420566	0.9205003781000001	0.9201146736	0.9208721734	0.9904513749	0.9880133249	0.9874759713000001	0.9903439706	0.9905173147	0.9203835965	0.9882686893	0.9200172754	0.9198828367	0.9885506481	0.9901753136	0.9880657196	0.990215974	0.9205663954000001
GCF_003687515.1:426	0.9887898367000001	0.9891319023	0.9896818222	0.989165622	0.9888439355	0.9179940558	0.9889371847	0.9885120391000001	1.0	0.9867639237	0.9891203096000001	0.9890914952000001	0.9889125777000001	0.9889556106	0.9897856951	0.9861078356	0.9866838698	0.9861197096000001	0.9865002497	0.9868426544000001	0.9894189465000001	0.9903769469	0.9903705752	0.9890673931	0.9896967596	0.9891361975	0.9896755181	0.9890052719	0.9180264239	0.9182792886000001	0.9188297345	0.9889019050000001	0.9886210110000001	0.9880597975000001	0.9891043302	0.9891329893	0.9183784228	0.9896303269000001	0.9184620523	0.9180063427	0.9895136317000001	0.9890495967	0.9897050224	0.9890792996000001	0.9184448102
GCF_004124335.1:427	0.9856289677000001	0.986613622	0.9861618874	0.9864909854	0.9856556946	0.9157144076	0.9862558862	0.9862807562	0.9867639237	1.0	0.9865815035000001	0.9866741806	0.9863157521	0.9864165299000001	0.9868772252	0.9920183903	0.9918982026000001	0.9920001176000001	0.9915871402	0.9919743676	0.9870453814000001	0.9868661230000001	0.9868879987	0.9867294923000001	0.9861505182	0.9866119171000001	0.9873049226	0.9865427257	0.9159992976	0.9156846365	0.9167694799	0.9866066841000001	0.9862215453000001	0.9861720062	0.9866357415	0.9866016953000001	0.9162483847	0.9866456337	0.9154883425	0.9153677920000001	0.9869140969	0.986556984	0.9873124476	0.9864677067000001	0.9162429714
