	GCF_000972435.1:723	GCF_003116795.1:724	GCF_003949835.1:725	GCF_003984925.1:726	GCF_003984935.1:727	GCF_003984975.1:728	GCF_004795715.1:729	GCF_005490965.1:730	GCF_013363575.1:731	GCF_018070055.1:732	GCF_019029485.1:733	GCF_019029505.1:734
GCF_000972435.1:723	1	56617	74801	71327	73550	72295	70948	69685	73322	82730	73256	73395
GCF_003116795.1:724	56617	1	60975	60057	58219	59226	58764	60063	59348	69833	58783	58914
GCF_003949835.1:725	74801	60975	1	82078	78614	78392	80568	70819	72214	76326	79422	79533
GCF_003984925.1:726	71327	60057	82078	1	74167	74707	79848	76848	75838	84154	72270	72300
GCF_003984935.1:727	73550	58219	78614	74167	1	74214	75715	77380	78027	88666	71075	71105
GCF_003984975.1:728	72295	59226	78392	74707	74214	1	74549	76798	79437	87400	72638	72631
GCF_004795715.1:729	70948	58764	80568	79848	75715	74549	1	77676	75162	89125	74060	74098
GCF_005490965.1:730	69685	60063	70819	76848	77380	76798	77676	1	75525	79139	76243	76265
GCF_013363575.1:731	73322	59348	72214	75838	78027	79437	75162	75525	1	85573	76534	76555
GCF_018070055.1:732	82730	69833	76326	84154	88666	87400	89125	79139	85573	1	86475	86503
GCF_019029485.1:733	73256	58783	79422	72270	71075	72638	74060	76243	76534	86475	1	374
GCF_019029505.1:734	73395	58914	79533	72300	71105	72631	74098	76265	76555	86503	374	1
