	Streptomyces lividans 1326 chromosome, whole genome shotgun sequence:309	Streptomyces violaceoruber strain NRRL S-12 contig1.1, whole genome shotgun sequence:310	Streptomyces lividans TK24 chromosome, complete genome:311	Streptomyces sp. WM6391 contig1.1, whole genome shotgun sequence:312	Streptomyces sp. 111WW2 B0E38_1, whole genome shotgun sequence:313	Streptomyces sp. 2221.1 Ga0151177_11, whole genome shotgun sequence:314	Streptomyces sp. E5N91 s-91_contig_1, whole genome shotgun sequence:315	Streptomyces coelicolor strain A3(2) R4-mCherry-17 Ga0316153_101, whole genome shotgun sequence:316	Streptomyces coelicolor strain A3(2) R4-mCherry-18 Ga0316154_101, whole genome shotgun sequence:317	Streptomyces coelicolor A3(2) strain CFB_NBC_0001 chromosome, complete genome:318	Streptomyces sp. SID7813 SID7813.c1, whole genome shotgun sequence:319	Streptomyces coelicolor strain M1154/pAMX4/pGP1416 chromosome, complete genome:320	Streptomyces sp. 2114.2 chromosome I:321
Streptomyces lividans 1326 chromosome, whole genome shotgun sequence:309	1.0	0.9361093085000001	0.9957689765000001	1.0053168489	0.9354316385	0.9346678182	0.808494224	0.9384931577000001	0.9386276796	0.9411499345000001	0.9411484045	0.9229774825	0.9346700543
Streptomyces violaceoruber strain NRRL S-12 contig1.1, whole genome shotgun sequence:310	0.9368584193	1.0	0.9478166467	0.9328135277	0.9622952642	0.9420961304000001	0.8182863587	0.9417891799	0.9419239272000001	0.9428378293	0.9428527881000001	0.9230767419	0.9421103825
Streptomyces lividans TK24 chromosome, complete genome:311	1.0138436288	0.9642492651000001	1.0	0.9861641600000001	0.9585812728	0.9647249830000001	0.8285224120000001	0.9566768437000001	0.9566840334000001	0.9614722473	0.96146338	0.9395439316	0.9651208952
Streptomyces sp. WM6391 contig1.1, whole genome shotgun sequence:312	0.9980899211	0.9253672903	0.9616201143	1.0	0.9242106333000001	0.9234706486	0.8002375476	0.9292846639000001	0.9292921421	0.9300794493000001	0.9300695174	0.9092347357	0.9238692098
Streptomyces sp. 111WW2 B0E38_1, whole genome shotgun sequence:313	0.9248602669	0.9506595506000001	0.9308519712000001	0.9203824302	1.0	0.9253318814	0.8013745127	0.9306813847000001	0.9306830138000001	0.9310411756	0.9310424556	0.9107942138	0.9254165929
Streptomyces sp. 2221.1 Ga0151177_11, whole genome shotgun sequence:314	0.9219050914	0.9284889586	0.9345877073000001	0.9174561402	0.9231289737	1.0	0.8092193411	0.9291939418	0.9292653339	0.9341323065	0.9341230197	0.9131520630000001	1.0023435206
Streptomyces sp. E5N91 s-91_contig_1, whole genome shotgun sequence:315	0.8069686620000001	0.8160892536000001	0.8122161562	0.8045109585	0.8090050013000001	0.8188739931	1.0	0.8184222041	0.8184781198000001	0.8189916978	0.8189759569	0.8022799717	0.8192308664
Streptomyces coelicolor strain A3(2) R4-mCherry-17 Ga0316153_101, whole genome shotgun sequence:316	0.9289468329	0.9314639346	0.9300635514000001	0.9264922888	0.9317442209000001	0.9324749924	0.811628714	1.0	1.0022192247	1.0105587332	1.0082154416	0.9849717133	0.9357465140000001
Streptomyces coelicolor strain A3(2) R4-mCherry-18 Ga0316154_101, whole genome shotgun sequence:317	0.928987781	0.9315047494	0.9299782374000001	0.9264077952	0.931653382	0.9324540873	0.811603611	1.0021197608	1.0	1.0129630628	1.008286147	0.9873743889000001	0.9356989590000001
Streptomyces coelicolor A3(2) strain CFB_NBC_0001 chromosome, complete genome:318	0.9225931001000001	0.9235086870000001	0.9257117027	0.9183425892	0.9231158476	0.9283908559	0.8043612443	1.0008135987	1.0032943132	1.0	1.0022957743	0.9812087778	0.9283982397
Streptomyces sp. SID7813 SID7813.c1, whole genome shotgun sequence:319	0.9226083117	0.9235400675000001	0.9257199331	0.9183494170000001	0.9231338377	0.9283984426	0.8043603541000001	0.9985109905	0.9986801280000001	1.0023139295	1.0	0.9789152752	0.9284058265
Streptomyces coelicolor strain M1154/pAMX4/pGP1416 chromosome, complete genome:320	0.913481077	0.9128488183000001	0.9132993667	0.9063955393	0.9117266406000001	0.9162682338	0.7955265016	0.9848553766	0.9873557572	0.9906459953000001	0.988312532	1.0	0.9162755721
Streptomyces sp. 2114.2 chromosome I:321	0.9212792	0.9278704142	0.9343342541	0.9172267714000001	0.9225844966000001	1.0016606222	0.8090204440000001	0.9318186696	0.9318637958	0.9335033049	0.9334940245000001	0.9125372393000001	1.0
