	Streptomyces californicus strain FDAARGOS_1209 chromosome:27	Streptomyces californicus strain FDAARGOS_1211 chromosome:28	Streptomyces californicus strain FDAARGOS_1212 chromosome:548	Streptomyces californicus strain FDAARGOS_1213 chromosome:549	Streptomyces californicus strain FDAARGOS_1210 chromosome:550	Streptomyces sp. M54 chromosome:743
Streptomyces californicus strain FDAARGOS_1209 chromosome:27	1.0	1.0268560961	1.0540538387	1.0533364311	0.9234624916	0.9186978690000001
Streptomyces californicus strain FDAARGOS_1211 chromosome:28	1.0241110889	1.0	1.0483181643	1.0483418815	0.9223661232	0.9168318179
Streptomyces californicus strain FDAARGOS_1212 chromosome:548	1.0474136214	1.0445062699	1.0	1.0005233455	0.9194404187	0.9145484369
Streptomyces californicus strain FDAARGOS_1213 chromosome:549	1.0465150628	1.0443446155	1.0003458663	1.0	0.9191747748	0.9154810808
Streptomyces californicus strain FDAARGOS_1210 chromosome:550	0.9021391012000001	0.9034832538	0.9039042213	0.9038033886	1.0	0.9158108758
Streptomyces sp. M54 chromosome:743	0.9271042246000001	0.927701043	0.9287677773	0.9298798699	0.9460354297	1.0
