	Streptomyces albus strain DSM 41398 chromosome, complete genome:233	Streptomyces albus strain BK3-25 chromosome, complete genome:234	Streptomyces albus strain ZD11 chromosome, complete genome:235
Streptomyces albus strain DSM 41398 chromosome, complete genome:233	1.0	0.9980323612	1.007384072
Streptomyces albus strain BK3-25 chromosome, complete genome:234	1.0071904078	1.0	1.009536218
Streptomyces albus strain ZD11 chromosome, complete genome:235	1.0155350771	1.0084509877	1.0
