	GCF_000299175.2:418	GCF_000359525.1:419	GCF_001431765.1:420	GCF_001577385.1:421	GCF_001704195.1:422	GCF_002802945.1:423	GCF_002910725.2:424	GCF_002910795.1:425	GCF_003687515.1:426	GCF_004124335.1:427	GCF_004195745.1:428	GCF_004195755.1:429	GCF_004195845.1:430	GCF_004195855.1:431	GCF_004195895.1:432	GCF_004195935.1:433	GCF_004195945.1:434	GCF_004195955.1:435	GCF_004195965.1:436	GCF_004195995.1:437	GCF_004196035.1:438	GCF_004196145.1:439	GCF_004196155.1:440	GCF_009834105.1:441	GCF_009846825.1:442	GCF_009862345.1:443	GCF_009863175.1:444	GCF_009865275.1:445	GCF_011170105.1:446	GCF_011170125.1:447	GCF_011170145.1:448	GCF_012184365.2:449	GCF_013363715.1:450	GCF_013371965.1:451	GCF_013376795.1:452	GCF_013693715.1:453	GCF_014216335.1:454	GCF_014281095.1:455	GCF_014648935.1:456	GCF_015680775.2:457	GCF_019067045.1:458	GCF_900091785.1:459	GCF_900091885.1:460	GCF_900171555.1:461	GCF_900460115.1:462
GCF_000299175.2:418	1	61411	75997	64107	77872	435991	63502	60839	71286	93321	63067	64095	66674	62241	75890	90915	91848	90869	90241	90706	77213	73735	73771	76767	76543	61411	77261	64232	432758	437276	430674	66506	78624	81849	61007	61272	436323	75931	435877	437169	77099	63877	77014	65893	436008
GCF_000359525.1:419	61411	1	70185	58935	72767	430914	53579	56361	67618	85631	59855	56738	61347	52854	70925	84295	85561	84398	84265	83610	72035	69163	69126	70725	69988	0	70785	53398	428116	432934	428131	59594	73481	76514	53607	465	433419	71682	430163	433743	71491	53048	70701	54510	432760
GCF_001431765.1:420	75997	70185	1	74841	69287	447773	77797	70536	66792	92740	73880	74527	76260	75607	68353	91052	92490	91249	89437	89873	70416	68621	68521	69152	2105	70170	74206	74356	445254	449766	442961	75494	73921	77136	73605	70201	449377	71026	447343	450375	70632	74051	74170	72498	449386
GCF_001577385.1:421	64107	58935	74841	1	75767	446344	60334	58417	70032	89798	59618	61538	61996	59311	72465	87236	89045	87555	88051	87932	74519	71766	71771	73842	74537	58935	74669	57659	444816	447693	442552	64038	78495	80754	59350	58964	447036	73780	445455	451537	74664	57286	74514	61837	449405
GCF_001704195.1:422	77872	72767	69287	75767	1	444768	75570	69397	71368	94721	75192	75206	74383	75142	74898	93128	94972	93300	91989	92834	75948	74535	74341	74583	69055	72526	78595	72321	441697	448876	441538	72952	76341	83720	73939	72454	446196	74770	445781	447291	74742	71917	78524	74635	445149
GCF_002802945.1:423	435991	430914	447773	446344	444768	1	448968	384332	418291	444577	447814	447550	449918	448757	442578	444215	446168	444087	444554	445873	442524	444884	444923	442665	448301	430777	443277	441720	25743	24339	23620	449025	444879	448464	445451	430803	21887	449211	24361	34196	445757	440375	442895	443593	24649
GCF_002910725.2:424	63502	53579	77797	60334	75570	448968	1	60416	71506	91510	58423	53098	61245	3790	74049	87558	91426	87613	87320	89619	74590	72412	72376	74616	78280	53652	74901	46977	444963	448245	446709	61838	76449	80477	8030	53686	452236	74471	446006	451211	74519	46823	74733	62251	448386
GCF_002910795.1:425	60839	56361	70536	58417	69397	384332	60416	1	69297	82582	60136	60052	62431	59289	68694	80949	83663	81084	80693	81260	70377	68790	68792	69445	70625	56306	71728	60038	381545	384959	377753	58575	72113	75048	58808	56206	384877	70551	384094	385093	69085	59704	71585	59504	385660
GCF_003687515.1:426	71286	67618	66792	70032	71368	418291	71506	69297	1	85436	69937	69846	72157	71424	65687	90184	86312	90153	87946	85436	68086	62708	62755	71539	66708	67580	66305	71156	413307	418560	412687	71300	72736	76482	69590	67601	419300	66626	418411	418687	68215	70690	66037	69924	417176
GCF_004124335.1:427	93321	85631	92740	89798	94721	444577	91510	82582	85436	1	88134	88201	90637	90087	86290	53550	55128	53869	56514	54335	85652	87552	87253	88327	92362	85642	83049	88565	440078	447722	441734	89020	90232	90163	88694	85710	445640	88170	445148	446371	86080	88157	82901	88115	445444
GCF_004195745.1:428	63067	59855	73880	59618	75192	447814	58423	60136	69937	88134	1	58038	62016	57847	74569	88384	88212	88693	86515	86763	77737	73146	72973	73882	74279	59746	75285	57872	444430	447995	442355	61332	76878	80137	57901	59386	447150	73646	446574	448841	74144	57581	75190	63545	449763
GCF_004195755.1:429	64095	56738	74527	61538	75206	447550	53098	60052	69846	88201	58038	1	57526	52081	74047	86314	88196	86633	87421	86549	75359	72113	71954	73938	74838	56666	74083	51109	443509	446985	442902	59836	77748	80542	52297	56644	447252	74199	445315	452022	73307	50692	73903	62051	447477
GCF_004195845.1:430	66674	61347	76260	61996	74383	449918	61245	62431	72157	90637	62016	57526	1	59693	72568	87555	90404	87942	87423	90733	75034	73092	73058	72658	76728	61305	75570	58568	443654	450375	445247	63675	78091	83244	58960	60807	449768	76904	448979	449764	73640	58217	75308	65080	448821
GCF_004195855.1:431	62241	52854	75607	59311	75142	448757	3790	59289	71424	90087	57847	52081	59693	1	74142	87349	91853	87446	87460	89697	74711	72602	72589	74043	76262	52789	74679	44600	442871	447976	443734	61737	76617	81014	7953	52741	449782	73668	446448	450218	74322	44424	74514	61984	446972
GCF_004195895.1:432	75890	70925	68353	72465	74898	442578	74049	68694	65687	86290	74569	74047	72568	74142	1	86437	85753	86653	85197	84724	67644	68913	68903	65726	68550	70856	72990	71783	438648	444011	438141	73135	74379	76837	73366	70783	443187	64684	442085	445326	66190	71467	72930	74498	442844
GCF_004195935.1:433	90915	84295	91052	87236	93128	444215	87558	80949	90184	53550	88384	86314	87555	87349	86437	1	53568	202	56161	54349	86198	87301	87294	91136	91150	84155	83675	85905	440279	445387	439279	86731	90204	91168	86487	84118	444772	87222	443897	445561	86635	85503	83596	86743	445172
GCF_004195945.1:434	91848	85561	92490	89045	94972	446168	91426	83663	86312	55128	88212	88196	90404	91853	85753	53568	1	53536	54614	55673	85809	87115	87216	86482	93091	85497	83708	90188	442161	446448	439106	88663	91969	92455	87236	85446	446120	88991	444645	446641	86540	89579	83440	88340	446476
GCF_004195955.1:435	90869	84398	91249	87555	93300	444087	87613	81084	90153	53869	88693	86633	87942	87446	86653	202	53536	1	56344	54673	86050	87632	87638	91348	91381	84319	84041	85754	440194	445372	439193	86872	90335	91194	86724	84262	444756	87607	443731	445497	86965	85342	83969	87045	445099
GCF_004195965.1:436	90241	84265	89437	88051	91989	444554	87320	80693	87946	56514	86515	87421	87423	87460	85197	56161	54614	56344	1	55104	85346	86454	86509	89914	89280	84222	80982	86183	442816	445058	439494	86383	88977	90301	86419	84276	445401	85890	443649	447099	86299	85706	80917	86188	447512
GCF_004195995.1:437	90706	83610	89873	87932	92834	445873	89619	81260	85436	54335	86763	86549	90733	89697	84724	54349	55673	54673	55104	1	85239	85329	85335	86073	90252	83653	82307	87056	442814	448816	442342	86338	89523	90160	86433	83663	447859	85771	447098	448225	85556	86581	82248	86807	448965
GCF_004196035.1:438	77213	72035	70416	74519	75948	442524	74590	70377	68086	85652	77737	75359	75034	74711	67644	86198	85809	86050	85346	85239	1	71364	71423	68901	70450	72192	73521	73044	441085	444514	438769	75009	75568	76413	74924	71649	442827	67425	442429	444045	69048	72622	73482	76071	443479
GCF_004196145.1:439	73735	69163	68621	71766	74535	444884	72412	68790	62708	87552	73146	72113	73092	72602	68913	87301	87115	87632	86454	85329	71364	1	109	69175	68735	69192	68538	71189	442371	447832	441453	72787	75195	78382	72373	69249	445875	70552	446408	446248	69043	70918	68476	72148	445476
GCF_004196155.1:440	73771	69126	68521	71771	74341	444923	72376	68792	62755	87253	72973	71954	73058	72589	68903	87294	87216	87638	86509	85335	71423	109	1	68989	68484	69155	68540	71205	442545	447997	441470	72580	75013	78071	72390	69212	445890	70292	446585	446453	68870	70936	68478	72055	445491
GCF_009834105.1:441	76767	70725	69152	73842	74583	442665	74616	69445	71539	88327	73882	73938	72658	74043	65726	91136	86482	91348	89914	86073	68901	69175	68989	1	68633	71009	74253	72814	439503	444147	440326	73643	75502	76664	73215	71106	443965	64574	441856	445578	65758	72409	74198	73686	443619
GCF_009846825.1:442	76543	69988	2105	74537	69055	448301	78280	70625	66708	92362	74279	74838	76728	76262	68550	91150	93091	91381	89280	90252	70450	68735	68484	68633	1	70058	74558	74724	444734	449379	442870	75150	74320	77459	73990	70059	448924	71345	447451	450533	70674	74420	74505	72592	449349
GCF_009862345.1:443	61411	0	70170	58935	72526	430777	53652	56306	67580	85642	59746	56666	61305	52789	70856	84155	85497	84319	84222	83653	72192	69192	69155	71009	70058	1	70785	53398	428116	432934	428131	59594	73481	76514	53607	465	433419	71682	430163	433743	71491	53048	70701	54510	432760
GCF_009863175.1:444	77261	70785	74206	74669	78595	443277	74901	71728	66305	83049	75285	74083	75570	74679	72990	83675	83708	84041	80982	82307	73521	68538	68540	74253	74558	70785	1	74035	438415	444632	437736	74873	79580	80212	74247	70889	443658	71838	442286	446457	72435	73591	0	74790	442972
GCF_009865275.1:445	64232	53398	74356	57659	72321	441720	46977	60038	71156	88565	57872	51109	58568	44600	71783	85905	90188	85754	86183	87056	73044	71189	71205	72814	74724	53398	74035	1	435412	440173	434752	61846	74040	79080	44759	53279	441919	73434	438558	442801	72629	0	73677	58863	439539
GCF_011170105.1:446	432758	428116	445254	444816	441697	25743	444963	381545	413307	440078	444430	443509	443654	442871	438648	440279	442161	440194	442816	442814	441085	442371	442545	439503	444734	428116	438415	435412	1	22422	20949	442949	441588	443666	441563	427969	23578	444044	21950	32697	442647	434152	438009	438207	21408
GCF_011170125.1:447	437276	432934	449766	447693	448876	24339	448245	384959	418560	447722	447995	446985	450375	447976	444011	445387	446448	445372	445058	448816	444514	447832	447997	444147	449379	432934	444632	440173	22422	1	24795	448475	449961	448509	445893	432805	22297	448714	594	31425	447640	438454	444056	442851	23991
GCF_011170145.1:448	430674	428131	442961	442552	441538	23620	446709	377753	412687	441734	442355	442902	445247	443734	438141	439279	439106	439193	439494	442342	438769	441453	441470	440326	442870	428131	437736	434752	20949	24795	1	440038	438941	440779	440930	427168	22870	439985	24036	31149	441125	432063	437382	436707	21515
GCF_012184365.2:449	66506	59594	75494	64038	72952	449025	61838	58575	71300	89020	61332	59836	63675	61737	73135	86731	88663	86872	86383	86338	75009	72787	72580	73643	75150	59594	74873	61846	442949	448475	440038	1	77755	82902	61577	59224	447136	75810	445910	450520	74505	61516	74603	61336	444728
GCF_013363715.1:450	78624	73481	73921	78495	76341	444879	76449	72113	72736	90232	76878	77748	78091	76617	74379	90204	91969	90335	88977	89523	75568	75195	75013	75502	74320	73481	79580	74040	441588	449961	438941	77755	1	45403	75843	73577	445533	75382	448510	448889	75641	73779	79200	77333	444553
GCF_013371965.1:451	81849	76514	77136	80754	83720	448464	80477	75048	76482	90163	80137	80542	83244	81014	76837	91168	92455	91194	90301	90160	76413	78382	78071	76664	77459	76514	80212	79080	443666	448509	440779	82902	45403	1	79182	76273	447891	77333	448117	449363	79862	78656	80266	79438	447850
GCF_013376795.1:452	61007	53607	73605	59350	73939	445451	8030	58808	69590	88694	57901	52297	58960	7953	73366	86487	87236	86724	86419	86433	74924	72373	72390	73215	73990	53607	74247	44759	441563	445893	440930	61577	75843	79182	1	53566	446082	73091	443455	446511	73396	44736	74194	62089	446101
GCF_013693715.1:453	61272	465	70201	58964	72454	430803	53686	56206	67601	85710	59386	56644	60807	52741	70783	84118	85446	84262	84276	83663	71649	69249	69212	71106	70059	465	70889	53279	427969	432805	427168	59224	73577	76273	53566	1	433475	71658	430187	433722	71511	53040	70668	54406	432789
GCF_014216335.1:454	436323	433419	449377	447036	446196	21887	452236	384877	419300	445640	447150	447252	449768	449782	443187	444772	446120	444756	445401	447859	442827	445875	445890	443965	448924	433419	443658	441919	23578	22297	22870	447136	445533	447891	446082	433475	1	447768	22051	34424	447869	440535	443157	443247	24812
GCF_014281095.1:455	75931	71682	71026	73780	74770	449211	74471	70551	66626	88170	73646	74199	76904	73668	64684	87222	88991	87607	85890	85771	67425	70552	70292	64574	71345	71682	71838	73434	444044	448714	439985	75810	75382	77333	73091	71658	447768	1	445234	450069	65699	73107	71935	72630	445414
GCF_014648935.1:456	435877	430163	447343	445455	445781	24361	446006	384094	418411	445148	446574	445315	448979	446448	442085	443897	444645	443731	443649	447098	442429	446408	446585	441856	447451	430163	442286	438558	21950	594	24036	445910	448510	448117	443455	430187	22051	445234	1	30715	446996	437333	441905	441815	23604
GCF_015680775.2:457	437169	433743	450375	451537	447291	34196	451211	385093	418687	446371	448841	452022	449764	450218	445326	445561	446641	445497	447099	448225	444045	446248	446453	445578	450533	433743	446457	442801	32697	31425	31149	450520	448889	449363	446511	433722	34424	450069	30715	1	448488	441561	446404	444924	32533
GCF_019067045.1:458	77099	71491	70632	74664	74742	445757	74519	69085	68215	86080	74144	73307	73640	74322	66190	86635	86540	86965	86299	85556	69048	69043	68870	65758	70674	71491	72435	72629	442647	447640	441125	74505	75641	79862	73396	71511	447869	65699	446996	448488	1	72212	72366	73938	446074
GCF_900091785.1:459	63877	53048	74051	57286	71917	440375	46823	59704	70690	88157	57581	50692	58217	44424	71467	85503	89579	85342	85706	86581	72622	70918	70936	72409	74420	53048	73591	0	434152	438454	432063	61516	73779	78656	44736	53040	440535	73107	437333	441561	72212	1	73413	58693	438225
GCF_900091885.1:460	77014	70701	74170	74514	78524	442895	74733	71585	66037	82901	75190	73903	75308	74514	72930	83596	83440	83969	80917	82248	73482	68476	68478	74198	74505	70701	0	73677	438009	444056	437382	74603	79200	80266	74194	70668	443157	71935	441905	446404	72366	73413	1	74616	442597
GCF_900171555.1:461	65893	54510	72498	61837	74635	443593	62251	59504	69924	88115	63545	62051	65080	61984	74498	86743	88340	87045	86188	86807	76071	72148	72055	73686	72592	54510	74790	58863	438207	442851	436707	61336	77333	79438	62089	54406	443247	72630	441815	444924	73938	58693	74616	1	442234
GCF_900460115.1:462	436008	432760	449386	449405	445149	24649	448386	385660	417176	445444	449763	447477	448821	446972	442844	445172	446476	445099	447512	448965	443479	445476	445491	443619	449349	432760	442972	439539	21408	23991	21515	444728	444553	447850	446101	432789	24812	445414	23604	32533	446074	438225	442597	442234	1
