	GCF_000091305.1:662	GCF_000738695.1:663	GCF_000988945.1:664	GCF_001550215.1:665	GCF_001550225.1:666	GCF_001550235.1:667	GCF_001550325.1:668	GCF_001579685.1:669	GCF_002155735.1:670	GCF_003584815.1:671	GCF_017933115.1:672	GCF_017933235.1:673	GCF_017933255.1:674	GCF_017968905.1:675	GCF_017968935.1:676	GCF_017968965.1:677	GCF_017969005.1:678	GCF_017969025.1:679	GCF_017969045.1:680	GCF_017969075.1:681
GCF_000091305.1:662	1.0	0.6597657137	0.6344020586	0.9582921745	0.9037894035	0.8910733843	0.6534226322000001	0.839942771	0.6161741978	0.8917225318	0.9069009365	0.9514798701	0.9131368122	0.9187121103	0.9161098053000001	0.9375728604	0.9073238480000001	0.9188700616000001	0.9197524411	0.9556262160000001
GCF_000738695.1:663	0.6391092507	1.0	0.7514501693000001	0.6259209477000001	0.6136168919	0.6471923242000001	0.7746626135	0.5563671336	0.7117085825	0.6072907635	0.6298698981	0.6358607112	0.6306366465000001	0.6315974445	0.6316994804	0.6356673299000001	0.6349122262	0.6356063374	0.6296181014000001	0.6364367509000001
GCF_000988945.1:664	0.6449916410000001	0.7886863569	1.0	0.6288024170000001	0.6219680643000001	0.6520214440000001	0.9539534477	0.5620484404	0.7326713332	0.6151357153	0.6450077699	0.6435656846000001	0.6437995038000001	0.6457086264	0.6419266461	0.6412330025	0.6457279611	0.6460214873	0.6376273383000001	0.6420320350000001
GCF_001550215.1:665	0.9746129423000001	0.6571558190000001	0.6290120021000001	1.0	0.9111342247	0.8987112208	0.6502282952	0.8507634126	0.6090488725000001	0.8925901110000001	0.8986890738000001	0.9443035227000001	0.9098010912000001	0.9163605327000001	0.9121790453	0.9291463076	0.9003463962	0.9104619959	0.9078645754	0.9501000426
GCF_001550225.1:666	0.8744600338	0.6128930063	0.5919040389	0.8668038824000001	1.0	0.8253126441	0.6151035906	0.7927307652000001	0.5703347538	0.8829350366000001	0.8523591483	0.8637272547	0.8434672357	0.8520536878	0.8481957716	0.8660228798	0.8380096561	0.8421379488	0.8438011067000001	0.8750226188
GCF_001550235.1:667	0.8074090806	0.6053801189	0.5811022195000001	0.8006931058000001	0.7729046785	1.0	0.5996378672	0.7872515136	0.5604832366	0.7517868702	0.7482709854	0.8046377288000001	0.7626093385	0.7640217101	0.76539194	0.7908164149	0.7543933159	0.7616420438	0.7592496101	0.8331022088000001
GCF_001550325.1:668	0.6306214011	0.7717946575	0.9055495344000001	0.6170298353	0.6135501609	0.6386801601000001	1.0	0.5514501782	0.7105444567	0.600799533	0.6342646415000001	0.6264086281	0.6317973639000001	0.6358195636	0.6307601469	0.6265682951	0.6341446297000001	0.6346536811	0.6274795093000001	0.6287104379
GCF_001579685.1:669	0.9447265057	0.6459999874	0.6217855829000001	0.9408729346	0.9215298271000001	0.9772141576000001	0.6426701854	1.0	0.6068579403000001	0.8912767832	0.8803646302	0.9464312491	0.8988996969	0.8996638501	0.9026651605	0.9288067384	0.8874355138000001	0.8958652492	0.8952470554	0.9783041428
GCF_002155735.1:670	0.6207677357	0.7401887330000001	0.7260145507	0.6033141886	0.5938581819000001	0.6231722393	0.7417240336	0.5435709807	1.0	0.5882406255	0.6116255197	0.6142409707	0.6124184837000001	0.6092444437	0.6084376812	0.6139115948	0.6119907318000001	0.6121761671	0.6078836586	0.6182258433000001
GCF_003584815.1:671	0.9220368229	0.6482310652000001	0.6256046466	0.9074785398	0.9435709373000001	0.8578929603000001	0.6436852823	0.8193599185	0.603737166	1.0	0.9008738740000001	0.9074701853	0.8863911892	0.8952948799	0.8882388655000001	0.9098687513	0.8815200889	0.8860261369	0.8939495963	0.9078146569000001
