	Streptomyces nodosus strain ATCC 14899 chromosome:131	Streptomyces nodosus strain ATCC 14899 chromosome, complete genome:132	Streptomyces nodosus strain DSM 40109 Ga0111588_01, whole genome shotgun sequence:133	Streptomyces nodosus strain ZJB2016050 chromosome, complete genome:134
Streptomyces nodosus strain ATCC 14899 chromosome:131	1.0	1.0012178981	0.9991000906	0.9803438115
Streptomyces nodosus strain ATCC 14899 chromosome, complete genome:132	0.9936852428	1.0	1.0079344239	0.9811739643
Streptomyces nodosus strain DSM 40109 Ga0111588_01, whole genome shotgun sequence:133	0.9892002785	1.005512037	1.0	0.9816686843
Streptomyces nodosus strain ZJB2016050 chromosome, complete genome:134	0.9923106709	1.0006795624	1.0035960778	1.0
