	Streptomyces lividans TK24 chromosome, complete genome:311	Streptomyces sp. 2221.1 Ga0151177_11, whole genome shotgun sequence:314	Streptomyces sp. 2114.2 chromosome I:321	Streptomyces sp. LRa12 NODE_100_length_28379_cov_153.035042, whole genome shotgun sequence:651	Streptomyces sp. RK76 RK76_contig_1, whole genome shotgun sequence:652
Streptomyces lividans TK24 chromosome, complete genome:311	1.0	0.9647249830000001	0.9651208952	0.9535396223	0.9667637395
Streptomyces sp. 2221.1 Ga0151177_11, whole genome shotgun sequence:314	0.9345877073000001	1.0	1.0023435206	0.9260172804000001	0.9344788197
Streptomyces sp. 2114.2 chromosome I:321	0.9343342541	1.0016606222	1.0	0.9254996048	0.9342267167
Streptomyces sp. LRa12 NODE_100_length_28379_cov_153.035042, whole genome shotgun sequence:651	0.958252757	0.9606028826	0.9607204130000001	1.0	0.9588122304000001
Streptomyces sp. RK76 RK76_contig_1, whole genome shotgun sequence:652	0.9109356991	0.9089087673	0.9092830587	0.8989998121	1.0
