	Streptomyces sp. WAC04657 WAC04657_unitig_0, whole genome shotgun sequence:135	Streptomyces sp. WAC00288 chromosome, complete genome:136	Streptomyces cinereoruber strain ATCC 19740 chromosome, complete genome:244	Streptomyces cinereoruber strain DSM 41512 Ga0310428_01, whole genome shotgun sequence:245
Streptomyces sp. WAC04657 WAC04657_unitig_0, whole genome shotgun sequence:135	1.0	1.0066128263	0.9086051132	0.9052941906
Streptomyces sp. WAC00288 chromosome, complete genome:136	0.9949126808000001	1.0	0.8976795585	0.8946684259000001
Streptomyces cinereoruber strain ATCC 19740 chromosome, complete genome:244	0.9382121189	0.9378312312	1.0	0.9968793287000001
Streptomyces cinereoruber strain DSM 41512 Ga0310428_01, whole genome shotgun sequence:245	0.9402332051000001	0.9401246835	1.002680525	1.0
