	GCF_000299175.2:418	GCF_000359525.1:419	GCF_001431765.1:420	GCF_001577385.1:421	GCF_001704195.1:422	GCF_002802945.1:423	GCF_002910725.2:424	GCF_002910795.1:425	GCF_003687515.1:426	GCF_004124335.1:427	GCF_004195745.1:428	GCF_004195755.1:429	GCF_004195845.1:430	GCF_004195855.1:431	GCF_004195895.1:432	GCF_004195935.1:433	GCF_004195945.1:434	GCF_004195955.1:435	GCF_004195965.1:436	GCF_004195995.1:437	GCF_004196035.1:438	GCF_004196145.1:439	GCF_004196155.1:440	GCF_009834105.1:441	GCF_009846825.1:442	GCF_009862345.1:443	GCF_009863175.1:444	GCF_009865275.1:445	GCF_011170105.1:446	GCF_011170125.1:447	GCF_011170145.1:448	GCF_012184365.2:449	GCF_013363715.1:450	GCF_013371965.1:451	GCF_013376795.1:452	GCF_013693715.1:453	GCF_014216335.1:454	GCF_014281095.1:455	GCF_014648935.1:456	GCF_015680775.2:457	GCF_019067045.1:458	GCF_900091785.1:459	GCF_900091885.1:460	GCF_900171555.1:461	GCF_900460115.1:462
GCF_000299175.2:418	7145211	6388947	6565247	6593893	6658791	5205232	6584452	6033711	6359051	6493688	6598829	6571442	6638998	6576515	6517631	6477893	6507404	6475668	6466427	6501654	6484665	6492828	6493652	6494861	6577434	6388947	6637673	6571449	5184530	5211561	5184066	6520337	6495449	6453777	6542394	6387251	5212668	6489321	5199099	5207366	6514017	6547216	6629432	6507741	5231480
GCF_000359525.1:419	6388947	6841649	6457193	6513379	6435356	5138226	6482243	5926168	6221696	6396876	6506534	6479187	6539993	6434680	6430189	6435084	6408099	6440011	6362805	6432028	6403304	6390136	6387534	6412820	6427370	6841649	6394188	6391771	5119150	5166183	5147117	6482619	6394692	6350571	6469171	6981882	5189987	6520525	5121624	5148435	6432054	6367283	6386984	6453914	5190768
GCF_001431765.1:420	6565247	6457193	7258031	6814611	6713816	5308676	6830360	6067908	6473236	6701781	6701268	6734766	6759380	6784956	6631618	6615558	6653273	6620454	6636798	6667725	6639413	6647181	6635316	6714802	7264461	6457180	6593381	6735077	5287350	5362962	5321275	6756240	6658765	6652324	6727250	6457304	5377577	6650364	5322125	5336454	6717132	6708903	6586470	6594667	5370327
GCF_001577385.1:421	6593893	6513379	6814611	7170504	6691816	5302368	6768426	6143522	6463869	6647265	6725397	6792913	6761934	6723187	6644832	6601139	6636865	6607699	6586165	6636784	6626960	6609169	6607308	6673611	6780746	6513375	6613754	6697756	5315522	5351362	5316597	6755050	6695363	6669328	6710535	6513401	5347494	6670188	5315050	5341837	6673284	6670725	6605495	6649398	5385971
GCF_001704195.1:422	6658791	6435356	6713816	6691816	7070328	5263407	6691757	6013541	6397238	6603387	6622639	6633549	6655750	6651508	6599487	6569394	6597983	6573762	6557049	6588139	6588430	6569197	6564622	6624543	6688671	6435118	6690933	6601783	5267046	5327724	5280647	6685756	6634910	6578804	6644468	6435197	5297409	6618566	5276858	5270368	6652082	6577033	6683207	6540059	5315161
GCF_002802945.1:423	5205232	5138226	5308676	5302368	5263407	6937431	5316706	4813928	5100740	5274650	5313479	5293623	5325689	5308751	5259399	5278416	5288248	5277545	5259383	5288226	5261929	5268967	5269476	5255797	5304963	5137544	5276098	5269385	6399956	6435804	6393585	5319803	5267275	5281453	5277774	5137825	6663165	5306582	6430887	6568608	5286360	5252836	5270480	5272419	6504420
GCF_002910725.2:424	6584452	6482243	6830360	6768426	6691757	5316706	7179914	6109075	6463635	6658123	6760117	6770736	6781616	7085355	6580968	6550246	6658290	6554149	6591794	6630396	6562414	6620249	6616990	6655008	6785860	6472091	6559220	6952279	5287436	5345960	5368285	6777528	6596450	6604548	6957009	6472223	5413040	6603311	5314128	5331533	6610591	6924998	6550919	6601246	5367723
GCF_002910795.1:425	6033711	5926168	6067908	6143522	6013541	4813928	6109075	6450053	6032141	6019428	6101598	6076272	6069075	6077353	6007352	5974019	6039930	5973299	5943209	5985260	5984112	6009490	6009373	5992517	6051440	5927144	6002884	6090317	4799331	4818895	4773959	6134391	6016097	5992321	6090288	5927224	4834142	6013906	4802212	4806623	6033966	6076937	5998267	6081750	4855124
GCF_003687515.1:426	6359051	6221696	6473236	6463869	6397238	5100740	6463635	6032141	7186472	6454783	6428216	6402894	6508005	6466994	6430883	6491717	6481763	6495037	6514639	6493407	6434709	6516435	6517004	6543636	6474468	6220658	6422114	6471829	5041954	5121835	5084214	6424526	6392132	6405419	6386941	6220754	5137122	6425082	5131488	5106334	6505112	6455470	6414487	6402886	5115260
GCF_004124335.1:427	6493688	6396876	6701781	6647265	6603387	5274650	6658123	6019428	6454783	7207104	6568098	6618805	6623455	6632105	6575591	6709173	6804416	6733724	6717573	6770183	6611696	6666120	6654438	6655887	6668986	6396883	6541827	6581199	5238980	5310088	5307356	6646599	6548775	6520324	6636657	6397078	5320972	6602335	5267297	5274245	6578071	6557829	6534042	6511461	5318288
GCF_004195745.1:428	6598829	6506534	6701268	6725397	6622639	5313479	6760117	6101598	6428216	6568098	7157307	6770587	6736374	6760522	6619491	6588102	6605912	6593763	6563928	6603820	6659311	6603618	6601421	6597407	6703988	6505961	6577140	6733408	5277512	5314882	5292312	6723344	6611107	6603032	6746011	6479304	5318962	6607942	5304488	5307107	6613902	6707563	6569568	6685692	5353515
GCF_004195755.1:429	6571442	6479187	6734766	6792913	6633549	5293623	6770736	6076272	6402894	6618805	6770587	7042329	6722355	6772926	6620503	6561007	6610165	6562304	6598210	6607908	6606806	6637193	6634610	6662835	6745929	6479174	6573010	6753097	5254509	5293965	5282522	6756572	6632891	6588108	6749270	6480898	5304235	6616683	5280575	5330873	6616000	6727332	6564973	6651173	5320915
GCF_004195845.1:430	6638998	6539993	6759380	6761934	6655750	5325689	6781616	6069075	6508005	6623455	6736374	6722355	7227023	6781350	6615164	6653250	6674316	6658778	6582755	6764459	6613525	6596919	6584915	6613400	6764395	6540314	6587686	6755126	5260753	5352219	5330810	6680804	6625254	6643789	6680330	6515250	5352741	6679198	5349765	5320668	6628689	6729674	6578647	6632733	5364191
GCF_004195855.1:431	6576515	6434680	6784956	6723187	6651508	5308751	7085355	6077353	6466994	6632105	6760522	6772926	6781350	7120012	6599340	6547623	6680559	6553379	6587656	6652409	6572701	6622480	6620220	6637362	6796022	6434227	6559353	6949244	5241628	5325573	5316826	6754731	6600191	6622490	6957469	6435555	5361591	6565938	5322930	5319703	6612266	6920407	6551200	6604259	5318161
GCF_004195895.1:432	6517631	6430189	6631618	6644832	6599487	5259399	6580968	6007352	6430883	6575591	6619491	6620503	6615164	6599340	6963119	6594654	6601476	6600365	6584042	6620849	6723766	6632001	6630299	6721791	6634019	6429526	6626851	6536287	5217188	5269166	5248164	6563930	6542191	6545565	6585581	6427412	5270003	6686446	5256107	5270198	6724937	6512332	6620091	6578517	5275310
GCF_004195935.1:433	6477893	6435084	6615558	6601139	6569394	5278416	6550246	5974019	6491717	6709173	6588102	6561007	6653250	6547623	6594654	7157271	6731799	7177946	6719236	6786253	6631264	6606329	6605121	6635257	6617008	6434831	6552541	6499682	5225197	5281899	5251580	6535284	6526217	6500427	6535134	6433469	5283619	6631167	5270719	5272811	6585243	6476605	6544023	6540899	5321455
GCF_004195945.1:434	6507404	6408099	6653273	6636865	6597983	5288248	6658290	6039930	6481763	6804416	6605912	6610165	6674316	6680559	6601476	6731799	7156688	6735867	6690153	6800029	6634855	6631457	6628987	6573393	6657793	6408718	6570951	6616092	5241548	5294398	5269928	6578666	6587960	6557410	6567917	6408813	5336952	6621081	5290516	5290006	6607528	6592142	6561855	6567768	5314754
