	Streptomyces sp. NRRL S-1831 contig1.1, whole genome shotgun sequence:118	Streptomyces sp. NRRL F-5635 contig1.1, whole genome shotgun sequence:119	Streptomyces sp. NRRL F-4711 P348contig1.1, whole genome shotgun sequence:120
Streptomyces sp. NRRL S-1831 contig1.1, whole genome shotgun sequence:118	1.0	0.9810436570000001	0.9602435065
Streptomyces sp. NRRL F-5635 contig1.1, whole genome shotgun sequence:119	0.9606583133000001	1.0	0.9468759181
Streptomyces sp. NRRL F-4711 P348contig1.1, whole genome shotgun sequence:120	0.9312569921	0.9377792687000001	1.0
