	Streptomyces longwoodensis strain DSM 41677 PRJNA299227_s001, whole genome shotgun sequence:580	Streptomyces galbus strain DSM 40089 contig_1, whole genome shotgun sequence:581	Streptomyces lasalocidi strain X-537 Scaffold1, whole genome shotgun sequence:582
Streptomyces longwoodensis strain DSM 41677 PRJNA299227_s001, whole genome shotgun sequence:580	1.0	0.7993810816	0.8499558146
Streptomyces galbus strain DSM 40089 contig_1, whole genome shotgun sequence:581	0.8531585022	1.0	0.8613762685
Streptomyces lasalocidi strain X-537 Scaffold1, whole genome shotgun sequence:582	0.8359776463	0.7938077977	1.0
