	Streptomyces sp. S1D4-23 chromosome:25	Streptomyces sp. RLB3-6 chromosome:26	Streptomyces sp. S1A1-3 chromosome:364	Streptomyces sp. S1A1-8 chromosome, complete genome:365	Streptomyces sp. WAC00263 unitig_0, whole genome shotgun sequence:489	Streptomyces sp. S1D4-14 chromosome, complete genome:490	Streptomyces sp. RLA2-12 RLA212_1, whole genome shotgun sequence:492	Streptomyces sp. OK228, whole genome shotgun sequence:494	Streptomyces sp. RLB1-8 chromosome, complete genome:662	Streptomyces sp. RLB3-17 chromosome, complete genome:663	Streptomyces sp. RLB3-5 chromosome:664	Streptomyces sp. RLB1-9 chromosome, complete genome:665	Streptomyces sp. S1A1-7 chromosome:666	Streptomyces sp. S1D4-20 chromosome:667
Streptomyces sp. S1D4-23 chromosome:25	1.0	1.0262312621	0.9084003234	0.9085413945	0.8310828305	0.8870382119	0.8263443014	0.8829257531	0.8863284609000001	0.8983070639	0.8785554519000001	0.9084561382	0.9160273683000001	0.8871489291
Streptomyces sp. RLB3-6 chromosome:26	0.9940198341	1.0	0.8879557543000001	0.8880601043	0.8054238572	0.8680064978	0.8109752159	0.8576781719000001	0.8680456994	0.8769562623	0.8606571692	0.8861875872	0.8927770643	0.8687493192
Streptomyces sp. S1A1-3 chromosome:364	0.9095815669	0.917922228	1.0	1.0046020247	0.8298841123	0.9313521215	0.8592001173	0.8870020996	0.9300638901	0.9613548843	0.9222339376	1.0200049144	0.9160752896000001	0.9323601690000001
Streptomyces sp. S1A1-8 chromosome, complete genome:365	0.9101004777	0.9184112046	1.0050190686	1.0	0.8300825764	0.9316166344000001	0.8594370867000001	0.8870287962000001	0.9304185047	0.9617653563	0.9224099272	1.0210830787	0.9163630358	0.9327772966000001
Streptomyces sp. WAC00263 unitig_0, whole genome shotgun sequence:489	0.8339971084000001	0.8344396159	0.8317126646	0.8315663550000001	1.0	0.8260502	0.7730603242	0.8298548322	0.824432139	0.8323180435	0.8157445278000001	0.8332643120000001	0.8274914078000001	0.8259198696000001
Streptomyces sp. S1D4-14 chromosome, complete genome:490	0.8961890733000001	0.9053791362	0.9397381402	0.9396149692	0.8316556106	1.0	0.9410509584000001	0.8894316791	1.0075848183	0.9408335240000001	1.0077672286	0.9417354371000001	0.9142706561	1.0041485995
Streptomyces sp. RLA2-12 RLA212_1, whole genome shotgun sequence:492	0.9147069122	0.9267843612000001	0.9498409338	0.9497086463000001	0.8527349718	1.0310429337	1.0	0.9087079840000001	1.0195188703	0.9507705262	1.0163894138	0.9519069497	0.9257260616	1.0256985576
Streptomyces sp. OK228, whole genome shotgun sequence:494	0.8760056157	0.8785313291	0.8789071211	0.8785688507	0.8204735752000001	0.8734498686000001	0.8144906913000001	1.0	0.8748961779000001	0.8756757384	0.8675027783	0.8789695748	0.8818312545	0.8730806594
Streptomyces sp. RLB1-8 chromosome, complete genome:662	0.9083525882000001	0.9184437072	0.9519369303	0.9519047172	0.8419657819	1.0220780518	0.94391765	0.9037193396000001	1.0	0.9528042195	1.0185278097	0.9544676571	0.9271132843000001	1.0148937626
Streptomyces sp. RLB3-17 chromosome, complete genome:663	0.9009078561	0.907995473	0.9628861191	0.962897514	0.8318109521	0.9339229062000001	0.8614108644	0.8851485672	0.9323939958	1.0	0.9248839365	0.9631556871	0.9081122497	0.9338622721000001
Streptomyces sp. RLB3-5 chromosome:664	0.8902789065000001	0.9004037324	0.9333265820000001	0.9331173202	0.8237412986	1.0107874043	0.9304565857	0.88602316	1.0070940594	0.9345199627	1.0	0.9348973903000001	0.9090268317	1.0035847641
Streptomyces sp. RLB1-9 chromosome, complete genome:665	0.8977753092	0.9041480425	1.0067035204	1.0073494404	0.8205900386	0.9211604661	0.849840192	0.8754973383	0.9203757073000001	0.9490839467000001	0.9117394263	1.0	0.9048978867	0.9219881715
Streptomyces sp. S1A1-7 chromosome:666	0.9200087893000001	0.9257138083	0.9188620714	0.9187692812	0.8281839037000001	0.908868376	0.8399338674	0.8926604811000001	0.9085661829	0.9094262838	0.9009554649	0.9196432922000001	1.0	0.9047509535
Streptomyces sp. S1D4-20 chromosome:667	0.8735570758000001	0.8831600609	0.9168833678	0.9169129300000001	0.8104242595000001	0.9786680815000001	0.9124174310000001	0.8664957067	0.9751144087	0.9169001088000001	0.9751959906000001	0.9186633891	0.8870340184000001	1.0
