	Streptomyces sp. Tu6071 chromosome, whole genome shotgun sequence:613	Streptomyces sp. CLI2509 strain CLI2905 chromosome, complete genome:614	Streptomyces sp. TverLS-915, whole genome shotgun sequence:640	Streptomyces sp. SolWspMP-sol7th, whole genome shotgun sequence:641
Streptomyces sp. Tu6071 chromosome, whole genome shotgun sequence:613	1.0	0.9151190659	0.8794021682000001	0.8370000667
Streptomyces sp. CLI2509 strain CLI2905 chromosome, complete genome:614	0.9497902651000001	1.0	0.9143044901	0.8735450283
Streptomyces sp. TverLS-915, whole genome shotgun sequence:640	0.9365898782000001	0.9382156442	1.0	0.865445486
Streptomyces sp. SolWspMP-sol7th, whole genome shotgun sequence:641	0.9659777819	0.9713524299	0.9378198783	1.0
