	Streptomyces lydicus strain WYEC 108 chromosome, complete genome:34	Streptomyces lydicus strain SW_ACT1 S.lydicus_actinovate_0, whole genome shotgun sequence:35	Streptomyces sp. NEAU-S7GS2 chromosome, complete genome:229	Streptomyces sp. WAC01526 AA000092-100_WAC01526, whole genome shotgun sequence:258
Streptomyces lydicus strain WYEC 108 chromosome, complete genome:34	1.0	1.0031028968	0.8499870585	0.8424533618000001
Streptomyces lydicus strain SW_ACT1 S.lydicus_actinovate_0, whole genome shotgun sequence:35	1.001543347	1.0	0.8482313108	0.8411848257000001
Streptomyces sp. NEAU-S7GS2 chromosome, complete genome:229	0.8006964483	0.8002867425	1.0	0.8567979628
Streptomyces sp. WAC01526 AA000092-100_WAC01526, whole genome shotgun sequence:258	0.8221203191	0.8221606341000001	0.8875898986	1.0
