	Streptomyces sp. SM14 1017_4518_745761, whole genome shotgun sequence:452	Streptomyces sp. SM12 1013_442_4961, whole genome shotgun sequence:453	Streptomyces otsuchiensis strain OTB305 NODE1, whole genome shotgun sequence:454
Streptomyces sp. SM14 1017_4518_745761, whole genome shotgun sequence:452	1.0	0.9961882476	0.986067537
Streptomyces sp. SM12 1013_442_4961, whole genome shotgun sequence:453	0.9961882476	1.0	0.9862782429
Streptomyces otsuchiensis strain OTB305 NODE1, whole genome shotgun sequence:454	0.986067537	0.9862782429	1.0
