	Streptomyces sp. NRRL S-455 contig1.1, whole genome shotgun sequence:65	Streptomyces sp. NRRL S-481 P269_Doro1_scaffold1, whole genome shotgun sequence:66	Streptomyces sp. NRRL S-474 P279_Doro1_scaffold1, whole genome shotgun sequence:67
Streptomyces sp. NRRL S-455 contig1.1, whole genome shotgun sequence:65	1.0	0.9953938001	0.9974974542
Streptomyces sp. NRRL S-481 P269_Doro1_scaffold1, whole genome shotgun sequence:66	0.9953938001	1.0	0.9962595742
Streptomyces sp. NRRL S-474 P279_Doro1_scaffold1, whole genome shotgun sequence:67	0.9974974542	0.9962595742	1.0
