	Streptomyces stelliscabiei strain NRRL B-24447 B24447_contig_1, whole genome shotgun sequence:571	Streptomyces stelliscabiei strain DSM 41803 Ga0264371_01, whole genome shotgun sequence:572	Streptomyces sp. 1222.2, whole genome shotgun sequence:573
Streptomyces stelliscabiei strain NRRL B-24447 B24447_contig_1, whole genome shotgun sequence:571	1.0	1.0024735567	0.8668971525
Streptomyces stelliscabiei strain DSM 41803 Ga0264371_01, whole genome shotgun sequence:572	0.9528769608000001	1.0	0.8743319257000001
Streptomyces sp. 1222.2, whole genome shotgun sequence:573	0.9091406694	0.9646637197000001	1.0
