	Streptomyces sp. EAG2 Scaffold_1, whole genome shotgun sequence:427	Streptomyces koyangensis strain VK-A60T chromosome, complete genome:428	Streptomyces koyangensis strain SCSIO 5802 chromosome, complete genome:429
Streptomyces sp. EAG2 Scaffold_1, whole genome shotgun sequence:427	1.0	0.9315748949	0.9053226511
Streptomyces koyangensis strain VK-A60T chromosome, complete genome:428	0.9255684831000001	1.0	0.8848230794
Streptomyces koyangensis strain SCSIO 5802 chromosome, complete genome:429	0.9276598322	0.9125381417	1.0
