	Streptomyces pluripotens strain MUSC 135 chromosome, complete genome:23	Streptomyces pluripotens strain MUSC 137 chromosome, complete genome:24	Streptomyces sp. MUSC 125 Contig1, whole genome shotgun sequence:611
Streptomyces pluripotens strain MUSC 135 chromosome, complete genome:23	1.0	1.0055812117	0.9225723941
Streptomyces pluripotens strain MUSC 137 chromosome, complete genome:24	0.9737044471	1.0	0.9192012778
Streptomyces sp. MUSC 125 Contig1, whole genome shotgun sequence:611	0.8851721442	0.9108102294	1.0
