	Streptomyces sp. SMS_SU21 1, whole genome shotgun sequence:70	Streptomyces sp. BSE7-9 BSE7-9_1_1, whole genome shotgun sequence:71	Streptomyces sp. I5 I5_1_1, whole genome shotgun sequence:72
Streptomyces sp. SMS_SU21 1, whole genome shotgun sequence:70	1.0	0.9344494523	0.9083642820000001
Streptomyces sp. BSE7-9 BSE7-9_1_1, whole genome shotgun sequence:71	0.9183293317000001	1.0	0.8922331079
Streptomyces sp. I5 I5_1_1, whole genome shotgun sequence:72	0.8720537469	0.87160336	1.0
