	GCF_000718705.1:1	GCF_000719625.1:2	GCF_000720235.1:3	GCF_000720455.1:4	GCF_000966965.1:5	GCF_001279445.1:6	GCF_001279485.1:7	GCF_001279495.1:8	GCF_001279685.1:9	GCF_001279765.1:10	GCF_001279815.1:11	GCF_001279845.1:12	GCF_001279855.1:13	GCF_001279885.1:14	GCF_001279905.1:15	GCF_001279925.1:16	GCF_001279935.1:17	GCF_001279965.1:18	GCF_008086975.1:19	GCF_014217585.1:20	GCF_014648795.1:21	GCF_016755835.1:22	GCF_017876235.1:23
GCF_000718705.1:1	8354185	8445798	7445064	7462853	7424466	7336167	7663203	7380905	7379497	7380622	7411030	7985883	7399832	7978557	7404929	8079327	7387400	7408363	6651770	8016012	8090794	8094690	8105563
GCF_000719625.1:2	8445798	8351943	7445208	7460588	7423581	7335001	7648749	7377510	7379157	7381406	7408689	7985458	7398784	7978025	7405124	8077940	7386869	7407053	6641588	8014338	8088230	8103779	8114834
GCF_000720235.1:3	7445064	7445208	8203792	7980680	8430625	6782219	7178982	7728406	7700131	7733818	7932885	7447519	7927307	7508858	7733165	7451299	7722983	7932228	6319360	7438333	7445275	7440869	7447751
GCF_000720455.1:4	7462853	7460588	7980680	8318538	7953983	6800660	7201272	7746256	7772801	7769021	7921408	7503709	7907318	7483413	7794301	7468747	7761870	7911343	6352719	7470758	7490039	7481655	7490491
GCF_000966965.1:5	7424466	7423581	8430625	7953983	8171095	6762458	7161318	7702644	7676785	7712109	7896302	7423347	7891209	7487883	7703919	7430544	7699686	7895527	6304774	7414246	7425837	7423714	7429251
GCF_001279445.1:6	7336167	7335001	6782219	6800660	6762458	7608527	6910705	6723029	6731678	6743613	6748991	7263729	6740360	7283890	6736562	7635261	6741581	6748180	6682374	7308540	7385845	7370605	7388809
GCF_001279485.1:7	7663203	7648749	7178982	7201272	7161318	6910705	8052035	7103411	7106645	7120897	7129885	7623545	7124089	7669849	7124890	7631060	7130608	7131521	6409157	7607434	7671649	7663780	7668527
GCF_001279495.1:8	7380905	7377510	7728406	7746256	7702644	6723029	7103411	8062295	7921907	7918362	7798675	7393146	7796162	7395168	7913194	7386137	7969209	7806029	6272994	7361977	7379194	7378294	7383533
GCF_001279685.1:9	7379497	7379157	7700131	7772801	7676785	6731678	7106645	7921907	8269391	7988432	7779067	7411416	7774393	7383486	8016886	7386566	7989736	7788515	6288292	7380865	7407077	7395151	7407783
GCF_001279765.1:10	7380622	7381406	7733818	7769021	7712109	6743613	7120897	7918362	7988432	8565282	7796934	7393672	7794792	7399483	7982161	7432363	8135363	7805877	6297536	7380085	7413723	7405444	7415905
GCF_001279815.1:11	7411030	7408689	7932885	7921408	7896302	6748991	7129885	7798675	7779067	7796934	8149060	7391308	8179186	7418853	7788308	7411717	7812030	8253943	6291443	7379375	7409244	7401105	7404665
GCF_001279845.1:12	7985883	7985458	7447519	7503709	7423347	7263729	7623545	7393146	7411416	7393672	7391308	8278192	7391770	8000915	7417561	7985127	7393322	7397221	6673437	8034585	8015538	8011406	8016902
GCF_001279855.1:13	7399832	7398784	7927307	7907318	7891209	6740360	7124089	7796162	7774393	7794792	8179186	7391770	8142216	7411753	7794712	7404936	7799049	8306681	6295326	7369265	7397787	7385695	7393304
GCF_001279885.1:14	7978557	7978025	7508858	7483413	7487883	7283890	7669849	7395168	7383486	7399483	7418853	8000915	7411753	8330448	7417242	8006507	7398699	7419622	6699159	8016468	7989634	7985122	7992301
GCF_001279905.1:15	7404929	7405124	7733165	7794301	7703919	6736562	7124890	7913194	8016886	7982161	7788308	7417561	7794712	7417242	8531037	7547603	7986210	7806801	6315133	7396390	7422823	7413748	7425505
GCF_001279925.1:16	8079327	8077940	7451299	7468747	7430544	7635261	7631060	7386137	7386566	7432363	7411717	7985127	7404936	8006507	7547603	8621977	7408460	7414598	6684902	8006638	8108579	8098030	8111900
GCF_001279935.1:17	7387400	7386869	7722983	7761870	7699686	6741581	7130608	7969209	7989736	8135363	7812030	7393322	7799049	7398699	7986210	7408460	8431584	7810921	6288560	7364657	7408134	7407116	7410045
GCF_001279965.1:18	7408363	7407053	7932228	7911343	7895527	6748180	7131521	7806029	7788515	7805877	8253943	7397221	8306681	7419622	7806801	7414598	7810921	8128098	6296358	7376862	7407102	7398977	7403863
GCF_008086975.1:19	6651770	6641588	6319360	6352719	6304774	6682374	6409157	6272994	6288292	6297536	6291443	6673437	6295326	6699159	6315133	6684902	6288560	6296358	6857227	6655338	6682221	6658163	6682859
GCF_014217585.1:20	8016012	8014338	7438333	7470758	7414246	7308540	7607434	7361977	7380865	7380085	7379375	8034585	7369265	8016468	7396390	8006638	7364657	7376862	6655338	8320846	8038607	8090328	8074634
GCF_014648795.1:21	8090794	8088230	7445275	7490039	7425837	7385845	7671649	7379194	7407077	7413723	7409244	8015538	7397787	7989634	7422823	8108579	7408134	7407102	6682221	8038607	8533327	8584797	8566204
GCF_016755835.1:22	8094690	8103779	7440869	7481655	7423714	7370605	7663780	7378294	7395151	7405444	7401105	8011406	7385695	7985122	7413748	8098030	7407116	7398977	6658163	8090328	8584797	8791967	8607090
GCF_017876235.1:23	8105563	8114834	7447751	7490491	7429251	7388809	7668527	7383533	7407783	7415905	7404665	8016902	7393304	7992301	7425505	8111900	7410045	7403863	6682859	8074634	8566204	8607090	8588732
