	Streptomyces sp. CB02009 scaffold1, whole genome shotgun sequence:813	Streptomyces zaomyceticus strain JCM 4864 sequence01, whole genome shotgun sequence:814	Streptomyces sp. PvR006 Ga0438199_01, whole genome shotgun sequence:815
Streptomyces sp. CB02009 scaffold1, whole genome shotgun sequence:813	1.0	0.6618302903000001	0.8440208854
Streptomyces zaomyceticus strain JCM 4864 sequence01, whole genome shotgun sequence:814	0.7327206006	1.0	0.7242854393
Streptomyces sp. PvR006 Ga0438199_01, whole genome shotgun sequence:815	0.8959753846	0.6944818133	1.0
