	Streptomyces clavuligerus strain ATCC 27064 chromosome, complete genome:462	Streptomyces clavuligerus strain ATCC 27064 isolate Leon-isolate chromosome, complete genome:463	Streptomyces clavuligerus strain F1D1 chromosome, complete genome:464	Streptomyces clavuligerus strain F1D4 chromosome, complete genome:465	Streptomyces clavuligerus strain F1D7 chromosome, complete genome:466	Streptomyces clavuligerus strain F1D10 chromosome, complete genome:467	Streptomyces clavuligerus strain F1D14 chromosome, complete genome:468	Streptomyces clavuligerus strain F1D18 chromosome, complete genome:469	Streptomyces clavuligerus strain F1D26 chromosome, complete genome:470	Streptomyces clavuligerus strain F1D31 chromosome, complete genome:471	Streptomyces clavuligerus strain F1D35 chromosome, complete genome:472	Streptomyces clavuligerus strain F1D28 chromosome, complete genome:473
Streptomyces clavuligerus strain ATCC 27064 chromosome, complete genome:462	1.0	0.9999899109	0.9998919016000001	0.9998581407	0.9998984657000001	0.999877761	0.9998673264000001	0.9998780787	0.9998860326000001	0.9998340231	0.9998735704	0.9998827727
Streptomyces clavuligerus strain ATCC 27064 isolate Leon-isolate chromosome, complete genome:463	0.9999899109	1.0	0.9998890012	0.9998591907000001	0.9998988407	0.9998794875	0.9998668453	0.9998762537	0.9998878385000001	0.9998271691	0.9998700162	0.9998790141
Streptomyces clavuligerus strain F1D1 chromosome, complete genome:464	0.9998919016000001	0.9998890012	1.0	0.9999433537	0.9999846966	0.9999707858	0.9999530626	0.9999663665	0.9999704528000001	0.9999185803	0.9999703525	0.9999681477000001
Streptomyces clavuligerus strain F1D4 chromosome, complete genome:465	0.9998581407	0.9998591907000001	0.9999433537	1.0	0.9999464002	0.9999568967	0.9999411922	0.9999474783000001	0.9999594239	0.9999392957000001	0.9999376299	0.9999559771000001
Streptomyces clavuligerus strain F1D7 chromosome, complete genome:466	0.9998984657000001	0.9998988407	0.9999846966	0.9999464002	1.0	0.9999739555	0.9999556073	0.9999633313	0.9999762277	0.9999376972	0.999980877	0.9999732923
Streptomyces clavuligerus strain F1D10 chromosome, complete genome:467	0.999877761	0.9998794875	0.9999707858	0.9999568967	0.9999739555	1.0	0.9999672350000001	0.9999753440000001	0.9999868234	0.9999335999000001	0.9999454746	0.9999832442000001
Streptomyces clavuligerus strain F1D14 chromosome, complete genome:468	0.9998673264000001	0.9998668453	0.9999530626	0.9999411922	0.9999556073	0.9999672350000001	1.0	0.9999555808	0.9999696592	0.9999449480000001	0.9999513684	0.999967377
Streptomyces clavuligerus strain F1D18 chromosome, complete genome:469	0.9998780787	0.9998762537	0.9999663665	0.9999474783000001	0.9999633313	0.9999753440000001	0.9999555808	1.0	0.9999768019	0.9999534721000001	0.9999596214	0.9999805727000001
Streptomyces clavuligerus strain F1D26 chromosome, complete genome:470	0.9998860326000001	0.9998878385000001	0.9999704528000001	0.9999594239	0.9999762277	0.9999868234	0.9999696592	0.9999768019	1.0	0.9999344085	0.9999581492	0.9999854939
Streptomyces clavuligerus strain F1D31 chromosome, complete genome:471	0.9998340231	0.9998271691	0.9999185803	0.9999392957000001	0.9999376972	0.9999335999000001	0.9999449480000001	0.9999534721000001	0.9999344085	1.0	0.9998963726000001	0.9999546114000001
Streptomyces clavuligerus strain F1D35 chromosome, complete genome:472	0.9998735704	0.9998700162	0.9999703525	0.9999376299	0.999980877	0.9999454746	0.9999513684	0.9999596214	0.9999581492	0.9998963726000001	1.0	0.9999635506000001
Streptomyces clavuligerus strain F1D28 chromosome, complete genome:473	0.9998827727	0.9998790141	0.9999681477000001	0.9999559771000001	0.9999732923	0.9999832442000001	0.999967377	0.9999805727000001	0.9999854939	0.9999546114000001	0.9999635506000001	1.0
