	GCF_000010605.1:365	GCF_000177175.2:366	GCF_001723115.1:367	GCF_009862245.1:368	GCF_009863155.1:369	GCF_009866455.1:370	GCF_900091905.1:371	GCF_900105705.1:372
GCF_000010605.1:365	8545929	7959601	7931214	8545929	7959601	8496871	7564443	8517354
GCF_000177175.2:366	7959601	8731683	7522774	7953446	8731660	7927690	7543733	8035067
GCF_001723115.1:367	7931214	7522774	8102089	7931010	7532030	8045025	7218268	8117332
GCF_009862245.1:368	8545929	7953446	7931010	8545929	7959601	8496871	7564443	8517354
GCF_009863155.1:369	7959601	8731660	7532030	7959601	8731660	7927690	7543733	8035067
GCF_009866455.1:370	8496871	7927690	8045025	8496871	7927690	8474298	7581426	8599063
GCF_900091905.1:371	7564443	7543733	7218268	7564443	7543733	7581426	8236685	7604499
GCF_900105705.1:372	8517354	8035067	8117332	8517354	8035067	8599063	7604499	8630192
