	Streptomyces kasugaensis strain BCRC 12349 scaffold1, whole genome shotgun sequence:772	Streptomyces kasugaensis strain AM-2504 1, whole genome shotgun sequence:773	Streptomyces sp. SID7805 SID7805.c1, whole genome shotgun sequence:774
Streptomyces kasugaensis strain BCRC 12349 scaffold1, whole genome shotgun sequence:772	1.0	0.8567203059	0.8986200509000001
Streptomyces kasugaensis strain AM-2504 1, whole genome shotgun sequence:773	0.9174225026	1.0	0.8988555981
Streptomyces sp. SID7805 SID7805.c1, whole genome shotgun sequence:774	0.9593316987	0.89609136	1.0
