,run_id,genome1,genome2,unique_taxa_names,coverage,identity,comparision_type_species,comparision_type_genus,cluster_hash,cluster_id
1,1.0,"Streptomyces malaysiensis strain DSM 4137 chromosome, complete genome:2","Streptomyces autolyticus strain CGMCC0516 chromosome, complete genome:1",5,0.8167922860000001,0.9851674006,intra,intra,00026119983f76d435684ef7366e3154,0
2,1.0,Streptomyces sp. M56 chromosome:3,"Streptomyces autolyticus strain CGMCC0516 chromosome, complete genome:1",5,0.8153955383,0.9855338261,intra,intra,00026119983f76d435684ef7366e3154,0
3,1.0,"Streptomyces samsunensis strain SA31 1, whole genome shotgun sequence:4","Streptomyces autolyticus strain CGMCC0516 chromosome, complete genome:1",5,0.8201193687,0.9870365311,intra,intra,00026119983f76d435684ef7366e3154,0
4,1.0,"Streptomyces solisilvae strain HNM0141 chromosome, complete genome:5","Streptomyces autolyticus strain CGMCC0516 chromosome, complete genome:1",5,0.8270711135000001,0.9866228636,intra,intra,00026119983f76d435684ef7366e3154,0
5,1.0,"Streptomyces autolyticus strain CGMCC0516 chromosome, complete genome:1","Streptomyces malaysiensis strain DSM 4137 chromosome, complete genome:2",5,0.8616689217,0.9851674006,intra,intra,00026119983f76d435684ef7366e3154,0
7,1.0,Streptomyces sp. M56 chromosome:3,"Streptomyces malaysiensis strain DSM 4137 chromosome, complete genome:2",5,0.8525325709,0.9863490857,intra,intra,00026119983f76d435684ef7366e3154,0
8,1.0,"Streptomyces samsunensis strain SA31 1, whole genome shotgun sequence:4","Streptomyces malaysiensis strain DSM 4137 chromosome, complete genome:2",5,0.8544642847,0.9857072513,intra,intra,00026119983f76d435684ef7366e3154,0
9,1.0,"Streptomyces solisilvae strain HNM0141 chromosome, complete genome:5","Streptomyces malaysiensis strain DSM 4137 chromosome, complete genome:2",5,0.872417251,0.9854909118,intra,intra,00026119983f76d435684ef7366e3154,0
10,1.0,"Streptomyces autolyticus strain CGMCC0516 chromosome, complete genome:1",Streptomyces sp. M56 chromosome:3,5,0.9401080645,0.9855338261,intra,intra,00026119983f76d435684ef7366e3154,0
11,1.0,"Streptomyces malaysiensis strain DSM 4137 chromosome, complete genome:2",Streptomyces sp. M56 chromosome:3,5,0.9317333181,0.9863490857,intra,intra,00026119983f76d435684ef7366e3154,0
13,1.0,"Streptomyces samsunensis strain SA31 1, whole genome shotgun sequence:4",Streptomyces sp. M56 chromosome:3,5,0.9096201612,0.9858143054,intra,intra,00026119983f76d435684ef7366e3154,0
14,1.0,"Streptomyces solisilvae strain HNM0141 chromosome, complete genome:5",Streptomyces sp. M56 chromosome:3,5,0.9355449392,0.9858004764,intra,intra,00026119983f76d435684ef7366e3154,0
15,1.0,"Streptomyces autolyticus strain CGMCC0516 chromosome, complete genome:1","Streptomyces samsunensis strain SA31 1, whole genome shotgun sequence:4",5,0.95424835,0.9870365311,intra,intra,00026119983f76d435684ef7366e3154,0
16,1.0,"Streptomyces malaysiensis strain DSM 4137 chromosome, complete genome:2","Streptomyces samsunensis strain SA31 1, whole genome shotgun sequence:4",5,0.9424307798,0.9857072513,intra,intra,00026119983f76d435684ef7366e3154,0
17,1.0,Streptomyces sp. M56 chromosome:3,"Streptomyces samsunensis strain SA31 1, whole genome shotgun sequence:4",5,0.9179837198,0.9858143054,intra,intra,00026119983f76d435684ef7366e3154,0
19,1.0,"Streptomyces solisilvae strain HNM0141 chromosome, complete genome:5","Streptomyces samsunensis strain SA31 1, whole genome shotgun sequence:4",5,0.9388586452,0.9871987053,intra,intra,00026119983f76d435684ef7366e3154,0
20,1.0,"Streptomyces autolyticus strain CGMCC0516 chromosome, complete genome:1","Streptomyces solisilvae strain HNM0141 chromosome, complete genome:5",5,0.9452180043,0.9866228636,intra,intra,00026119983f76d435684ef7366e3154,0
21,1.0,"Streptomyces malaysiensis strain DSM 4137 chromosome, complete genome:2","Streptomyces solisilvae strain HNM0141 chromosome, complete genome:5",5,0.9451148249,0.9854909118,intra,intra,00026119983f76d435684ef7366e3154,0
