	Streptomyces atratus strain SCSIO_ZH16 chromosome, complete genome:790	Streptomyces atratus strain JCM 3386 sequence001, whole genome shotgun sequence:791	Streptomyces sp. Ncost-T10-10d, whole genome shotgun sequence:792
Streptomyces atratus strain SCSIO_ZH16 chromosome, complete genome:790	1.0	0.8685237906000001	0.6984679848
Streptomyces atratus strain JCM 3386 sequence001, whole genome shotgun sequence:791	0.8521031981	1.0	0.6947286081
Streptomyces sp. Ncost-T10-10d, whole genome shotgun sequence:792	0.7193737447	0.7293110362	1.0
