	Streptomyces nodosus strain ATCC 14899 chromosome, complete genome:132	Streptomyces nodosus strain DSM 40109 Ga0111588_01, whole genome shotgun sequence:133	Streptomyces nodosus strain ZJB2016050 chromosome, complete genome:134
Streptomyces nodosus strain ATCC 14899 chromosome, complete genome:132	1.0	0.9999523886	0.9999249960000001
Streptomyces nodosus strain DSM 40109 Ga0111588_01, whole genome shotgun sequence:133	0.9999523886	1.0	0.9999473098
Streptomyces nodosus strain ZJB2016050 chromosome, complete genome:134	0.9999249960000001	0.9999473098	1.0
