	GCF_000952035.2:560	GCF_001294335.1:561	GCF_001729485.1:562	GCF_001984445.1:563	GCF_002090335.1:564	GCF_004125245.1:565
GCF_000952035.2:560	1	204758	536995	543064	538749	536488
GCF_001294335.1:561	204758	1	530617	537249	536335	529924
GCF_001729485.1:562	536995	530617	1	349197	358131	332910
GCF_001984445.1:563	543064	537249	349197	1	170128	52148
GCF_002090335.1:564	538749	536335	358131	170128	1	160211
GCF_004125245.1:565	536488	529924	332910	52148	160211	1
