	Streptomyces albidoflavus, complete sequence:279	Streptomyces sp. SID7817 SID7817.c1, whole genome shotgun sequence:298	Streptomyces albidoflavus strain J1074/R2 chromosome, complete genome:304
Streptomyces albidoflavus, complete sequence:279	1.0	1.0	1.0204969591
Streptomyces sp. SID7817 SID7817.c1, whole genome shotgun sequence:298	1.0	1.0	1.0204969591
Streptomyces albidoflavus strain J1074/R2 chromosome, complete genome:304	1.005607125	1.005607125	1.0
