	Streptomyces sp. W007 contig00324, whole genome shotgun sequence:683	Streptomyces sp. ScaeMP-e10 B061DRAFT_scaffold_0.1, whole genome shotgun sequence:684	Streptomyces anulatus strain ATCC 11523 chromosome, whole genome shotgun sequence:685	Streptomyces sp. TSRI0261 scaffold1, whole genome shotgun sequence:686	Streptomyces sp. CB00072 scaffold1, whole genome shotgun sequence:687	Streptomyces sp. CB02115 scaffold1, whole genome shotgun sequence:688	Streptomyces sp. IB2014 011-1 STIB_1, whole genome shotgun sequence:689	Streptomyces lavendulae subsp. lavendulae strain ATCC 13664 Contig1, whole genome shotgun sequence:690	Streptomyces sp. SM13 1005_3024_150609, whole genome shotgun sequence:691	Streptomyces sp. CS090A Scaffold00001, whole genome shotgun sequence:692	Streptomyces sp. IB2014 011-12 contig00001, whole genome shotgun sequence:693	Streptomyces sp. BPSDS2 1, whole genome shotgun sequence:694	Streptomyces sp. TRM68085 scaffold1, whole genome shotgun sequence:695	Streptomyces sp. SID8374 SID8374.c1, whole genome shotgun sequence:696	Streptomyces sp. SID2119 SID2119.c1, whole genome shotgun sequence:697	Streptomyces sp. SID5594 SID5594.c1, whole genome shotgun sequence:698	Streptomyces sp. CB00271 chromosome, complete genome:699	Streptomyces sp. C3-3 C3-3_son_contig_1, whole genome shotgun sequence:700	Streptomyces anulatus strain AC569_RSS891, whole genome shotgun sequence:701	Streptomyces sp. KY70 isolate Streptomyces sp. KY70 genome chromosome KY70:702	Streptomyces sp. KY75 isolate Streptomyces sp. KY75 genome chromosome KY75:703
Streptomyces sp. W007 contig00324, whole genome shotgun sequence:683	1.0	0.8913717293000001	0.9697340858000001	0.9630281389	0.9849708678	0.9691555561	0.8930478190000001	0.8939634725000001	0.9216497845	0.8912901943	0.8930555956	0.9214050009	0.8924536766000001	0.8928978586	0.8947205549	0.8913717293000001	0.9633088557	0.9661487828	0.9581874423000001	0.8926076627	0.8925733834
Streptomyces sp. ScaeMP-e10 B061DRAFT_scaffold_0.1, whole genome shotgun sequence:684	0.8913717293000001	1.0	0.8923628816	0.8926064797000001	0.8912114292000001	0.8918525167	0.9607988730000001	0.9497631886000001	0.8949308117	0.9864139892	0.9608232135	0.8942674985	0.9488293147	0.9298438101000001	0.9620468544	1.0	0.8934692058	0.8925420311000001	0.8914748811000001	0.9607829192	0.9608191297
Streptomyces anulatus strain ATCC 11523 chromosome, whole genome shotgun sequence:685	0.9697340858000001	0.8923628816	1.0	0.9693493547	0.9696373184	0.9780348733	0.8938105368	0.8947914641	0.9226055414000001	0.8922568475	0.8938241594	0.9227255765000001	0.8933600387	0.8945419009000001	0.8958975803	0.8923813602	0.9696125768	0.97077329	0.9617525036000001	0.8940541842	0.8941098761
Streptomyces sp. TSRI0261 scaffold1, whole genome shotgun sequence:686	0.9630281389	0.8926064797000001	0.9693493547	1.0	0.9627248004000001	0.9664284375000001	0.8939519492	0.8948113157	0.9223662282	0.89293149	0.8939400456000001	0.922030113	0.8933462628000001	0.8939050881	0.8958423661	0.8925649032	0.9997827232000001	0.9636492937000001	0.9574237463	0.8936816986	0.8936160575000001
Streptomyces sp. CB00072 scaffold1, whole genome shotgun sequence:687	0.9849708678	0.8912114292000001	0.9696373184	0.9627248004000001	1.0	0.9694964314000001	0.8926053534	0.893648086	0.9208616622	0.891160885	0.892612077	0.9212760943	0.8922523058	0.8928912328	0.8945370453	0.8911892349	0.9630424521000001	0.9660368413	0.9578141875	0.8922840264	0.8922956326
Streptomyces sp. CB02115 scaffold1, whole genome shotgun sequence:688	0.9691555561	0.8918525167	0.9780348733	0.9664284375000001	0.9694964314000001	1.0	0.8929941084	0.8938892154	0.9217088178	0.8915724839	0.8930243534000001	0.9221919309000001	0.8929534716	0.8932962908000001	0.8950216898000001	0.8918411008	0.9667101486	0.9704639097000001	0.9608257459	0.8928344060000001	0.8928091043
Streptomyces sp. IB2014 011-1 STIB_1, whole genome shotgun sequence:689	0.8930478190000001	0.9607988730000001	0.8938105368	0.8939519492	0.8926053534	0.8929941084	1.0	0.9535360408	0.896042654	0.9605797367000001	0.9999653974	0.8954532054000001	0.95256663	0.9326967694	0.9631138943	0.9608269220000001	0.8941118074000001	0.8938862679	0.8928972514	0.9947443083	0.9947830557
Streptomyces lavendulae subsp. lavendulae strain ATCC 13664 Contig1, whole genome shotgun sequence:690	0.8939634725000001	0.9497631886000001	0.8947914641	0.8948113157	0.893648086	0.8938892154	0.9535360408	1.0	0.8965307252	0.9499077574	0.9535813379	0.8966167263	0.9749956577000001	0.9355088098000001	0.9518495504000001	0.9497120853000001	0.8954221797	0.8941428941	0.8937238161000001	0.953291564	0.9532685457000001
Streptomyces sp. SM13 1005_3024_150609, whole genome shotgun sequence:691	0.9216497845	0.8949308117	0.9226055414000001	0.9223662282	0.9208616622	0.9217088178	0.896042654	0.8965307252	1.0	0.8947820637	0.8960634623	0.9688677992	0.8954408903000001	0.8960233611	0.8970473956	0.8949415113	0.9233097833	0.9219795886000001	0.9206568401	0.8956152788	0.8956306133
Streptomyces sp. CS090A Scaffold00001, whole genome shotgun sequence:692	0.8912901943	0.9864139892	0.8922568475	0.89293149	0.891160885	0.8915724839	0.9605797367000001	0.9499077574	0.8947820637	1.0	0.960648585	0.8943628060000001	0.9483871747	0.9298004599	0.9620587274	0.9864523943000001	0.8936627794	0.8925297003	0.8913643708000001	0.9604852676000001	0.9605184135
Streptomyces sp. IB2014 011-12 contig00001, whole genome shotgun sequence:693	0.8930555956	0.9608232135	0.8938241594	0.8939400456000001	0.892612077	0.8930243534000001	0.9999653974	0.9535813379	0.8960634623	0.960648585	1.0	0.8954377928	0.9524943213	0.9327339893000001	0.9630591635	0.9608446352000001	0.8940572334	0.8938771702	0.8928766789	0.9947240026	0.9947723154
Streptomyces sp. BPSDS2 1, whole genome shotgun sequence:694	0.9214050009	0.8942674985	0.9227255765000001	0.922030113	0.9212760943	0.9221919309000001	0.8954532054000001	0.8966167263	0.9688677992	0.8943628060000001	0.8954377928	1.0	0.8954590483	0.8959847637	0.8975936465000001	0.8941950873000001	0.9227738306000001	0.9226733394000001	0.9212857201	0.8950974082	0.8951108132000001
Streptomyces sp. TRM68085 scaffold1, whole genome shotgun sequence:695	0.8924536766000001	0.9488293147	0.8933600387	0.8933462628000001	0.8922523058	0.8929534716	0.95256663	0.9749956577000001	0.8954408903000001	0.9483871747	0.9524943213	0.8954590483	1.0	0.9337319904	0.9509927616	0.9487813085000001	0.8938534697	0.8933287811	0.8920435994	0.9521870736	0.9522119278000001
Streptomyces sp. SID8374 SID8374.c1, whole genome shotgun sequence:696	0.8928978586	0.9298438101000001	0.8945419009000001	0.8939050881	0.8928912328	0.8932962908000001	0.9326967694	0.9355088098000001	0.8960233611	0.9298004599	0.9327339893000001	0.8959847637	0.9337319904	1.0	0.9327592043	0.9298103620000001	0.8947579885	0.8935372165000001	0.8928998112000001	0.9323508016000001	0.9323798164
Streptomyces sp. SID2119 SID2119.c1, whole genome shotgun sequence:697	0.8947205549	0.9620468544	0.8958975803	0.8958423661	0.8945370453	0.8950216898000001	0.9631138943	0.9518495504000001	0.8970473956	0.9620587274	0.9630591635	0.8975936465000001	0.9509927616	0.9327592043	1.0	0.9620644116	0.8964647790000001	0.8954418113	0.8947916408000001	0.9631734491	0.9631819585
Streptomyces sp. SID5594 SID5594.c1, whole genome shotgun sequence:698	0.8913717293000001	1.0	0.8923813602	0.8925649032	0.8911892349	0.8918411008	0.9608269220000001	0.9497120853000001	0.8949415113	0.9864523943000001	0.9608446352000001	0.8941950873000001	0.9487813085000001	0.9298103620000001	0.9620644116	1.0	0.8934692058	0.8925420311000001	0.8914748811000001	0.9607829192	0.9608191297
Streptomyces sp. CB00271 chromosome, complete genome:699	0.9633088557	0.8934692058	0.9696125768	0.9997827232000001	0.9630424521000001	0.9667101486	0.8941118074000001	0.8954221797	0.9233097833	0.8936627794	0.8940572334	0.9227738306000001	0.8938534697	0.8947579885	0.8964647790000001	0.8934692058	1.0	0.9639442034000001	0.9574722641000001	0.8944434431	0.8943522140000001
Streptomyces sp. C3-3 C3-3_son_contig_1, whole genome shotgun sequence:700	0.9661487828	0.8925420311000001	0.97077329	0.9636492937000001	0.9660368413	0.9704639097000001	0.8938862679	0.8941428941	0.9219795886000001	0.8925297003	0.8938771702	0.9226733394000001	0.8933287811	0.8935372165000001	0.8954418113	0.8925420311000001	0.9639442034000001	1.0	0.9640085453	0.8933733316	0.8933691025
Streptomyces anulatus strain AC569_RSS891, whole genome shotgun sequence:701	0.9581874423000001	0.8914748811000001	0.9617525036000001	0.9574237463	0.9578141875	0.9608257459	0.8928972514	0.8937238161000001	0.9206568401	0.8913643708000001	0.8928766789	0.9212857201	0.8920435994	0.8928998112000001	0.8947916408000001	0.8914748811000001	0.9574722641000001	0.9640085453	1.0	0.8923961514000001	0.8923952239
Streptomyces sp. KY70 isolate Streptomyces sp. KY70 genome chromosome KY70:702	0.8926076627	0.9607829192	0.8940541842	0.8936816986	0.8922840264	0.8928344060000001	0.9947443083	0.953291564	0.8956152788	0.9604852676000001	0.9947240026	0.8950974082	0.9521870736	0.9323508016000001	0.9631734491	0.9607829192	0.8944434431	0.8933733316	0.8923961514000001	1.0	0.9998604209
Streptomyces sp. KY75 isolate Streptomyces sp. KY75 genome chromosome KY75:703	0.8925733834	0.9608191297	0.8941098761	0.8936160575000001	0.8922956326	0.8928091043	0.9947830557	0.9532685457000001	0.8956306133	0.9605184135	0.9947723154	0.8951108132000001	0.9522119278000001	0.9323798164	0.9631819585	0.9608191297	0.8943522140000001	0.8933691025	0.8923952239	0.9998604209	1.0
