	Streptomyces sp. 840.1 Ga0299888_11, whole genome shotgun sequence:191	Streptomyces sp. A0642 NODE_101_length_818_cov_271.801737, whole genome shotgun sequence:192	Streptomyces brevispora strain DSM 42059 Ga0264373_11, whole genome shotgun sequence:193
Streptomyces sp. 840.1 Ga0299888_11, whole genome shotgun sequence:191	1.0	0.5671469175	0.6058904623
Streptomyces sp. A0642 NODE_101_length_818_cov_271.801737, whole genome shotgun sequence:192	0.6119184661	1.0	0.5690938175
Streptomyces brevispora strain DSM 42059 Ga0264373_11, whole genome shotgun sequence:193	0.7102856626	0.6183364049	1.0
