	Streptomyces coelicolor A3(2) strain CFB_NBC_0001 chromosome, complete genome:318	Streptomyces sp. SID7813 SID7813.c1, whole genome shotgun sequence:319	Streptomyces coelicolor strain M1154/pAMX4/pGP1416 chromosome, complete genome:320
Streptomyces coelicolor A3(2) strain CFB_NBC_0001 chromosome, complete genome:318	1.0	0.9999781297	0.9999576709
Streptomyces sp. SID7813 SID7813.c1, whole genome shotgun sequence:319	0.9999781297	1.0	0.9999503816
Streptomyces coelicolor strain M1154/pAMX4/pGP1416 chromosome, complete genome:320	0.9999576709	0.9999503816	1.0
