	Streptomyces sp. OK228, whole genome shotgun sequence:494	Streptomyces olivochromogenes strain DSM 40451 PRJNA299225_s001, whole genome shotgun sequence:644	Streptomyces olivochromogenes strain NBRC 3561, whole genome shotgun sequence:645
Streptomyces sp. OK228, whole genome shotgun sequence:494	1.0	0.7355203266	0.7365087243
Streptomyces olivochromogenes strain DSM 40451 PRJNA299225_s001, whole genome shotgun sequence:644	0.7660074561	1.0	1.0030723319
Streptomyces olivochromogenes strain NBRC 3561, whole genome shotgun sequence:645	0.7689921021	1.0056292973	1.0
